[Header Info Signal 1 COLT 3.0]
"SDCK20191015-3.D"," ","C:\Precess Data\2019出口数据\",[GC],0
21 May 2021  16:21    ,SIM-PAHS.M,35
"SDCK20191015-3"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191015-3.D"," ","C:\Precess Data\2019出口数据\"
21 May 2021  16:21    ,SIM-PAHS.M,35
"SDCK20191015-3"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",10412090,19.352,0.00
"Hexadecanoic acid-D31",14512005,27.905,0.00
"Hentricontanioc acid-D31",9667188,38.223,0.00
"Phthalic acid 3,4,56-D4",5899686,18.071,0.00
"Nonanoic acid",7458210,12.088,0.00
"Decanoic acid",1965041,14.747,0.00
"Undecanoic acid",19008,17.552,0.00
"Dodecanoic acid",2614834,19.742,0.00
"Tridecanoic acid",507060,22.064,0.00
"Tetradecanoic acid",3737121,24.260,0.00
"Pentadecanoic acid ",1363288,26.361,0.00
"Hexadecanoic acid",36104522,28.366,0.00
"Heptadecanoic acid",499257,30.292,0.00
"Octadecanoic acid",9527289,32.119,0.00
"Nonadecanoic acid",76335,33.896,0.00
"Eicosanoic acid",433886,35.574,0.00
"Heneicosanoic acid",67955,37.201,0.00
"Docosanoic acid",538904,38.770,0.00
"Tricosanoic acid",158077,40.266,0.00
"Tetracosanoic acid",289749,41.715,0.00
"Pentacosanoic acid",78658,43.099,0.00
"Hexacosanoic acid",80279,44.466,0.00
"Heptacosanoic acid",24135,45.781,0.00
"Octacosanoic acid",51506,47.029,0.00
"Nonacosanoic acid",17386,48.533,0.00
"Triacontanoic acid",49132,49.951,0.00
"Henriacontanoic acid",22848,51.950,0.00
"Dotriacontanoic acid",32734,54.098,0.00
"9-Hexadecenoic acid",4578111,28.366,0.00
"trans-9-Octadecenoic acid",4417949,31.621,0.00
"cis-9-Octadecenoic acid",548994,31.754,0.00
"9,12-Octadecanedienoic acid",1675031,31.660,0.00
"Hexadecanamide",441479,33.066,0.00
"9-Octdecenamide",607919,36.122,0.00
"Octadecanamide",276775,36.537,0.00
"Butanedioic Acid",487543,6.947,0.00
"Pentanedioic Acid",35119,9.834,0.00
"Hexanedioic Acid",302023,12.736,0.00
"Heptanedioic Acid",24972,15.331,0.00
"Octanedioic Acid",29327,17.925,0.00
"Nonanedioic Acid",152728,20.342,0.00
"Decanedioic acid",36991,22.637,0.00
"Benzoic acid",2941291,8.634,0.00
"m-Toluic acid",303813,11.650,0.00
"p-Toluic acid",251040,11.877,0.00
"1,2-Phthalic acid",2975436,18.104,0.00
"1,4-Phthalic acid",1334349,19.223,0.00
"1,3-Phthalic acid",75642,19.515,0.00
"4-Methoxybenzoic acid",719,16.109,0.00
"3,4-Dimethoxy benzoic acid",30586,21.412,0.00
"4-methyl-1,2-phthalic acid",426229,20.918,0.00
"1,2,4-Benzenetricarboxylic ",35487,26.807,0.00
"1,3,5-Benzenetricarboxylic",13499,28.128,0.00
"1,2,4,5-Benzenetetracarboxy",15742,32.601,0.00
"7-Oxodehydroabietic acid",52992,39.591,0.00
"Benz(de)anthracen-7-one",0,0.000,0.00
