[Header Info Signal 1 COLT 3.0]
"ACID-3.D"," ","C:\Precess Data\2019出口数据\",[GC],0
20 May 2021  12:06    ,SIM-PAHS.M,12
"ACID-3"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"ACID-3.D"," ","C:\Precess Data\2019出口数据\"
20 May 2021  12:06    ,SIM-PAHS.M,12
"ACID-3"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",37416773,19.353,0.00
"Hexadecanoic acid-D31",41623930,27.921,0.00
"Hentricontanioc acid-D31",17368524,38.223,0.00
"Phthalic acid 3,4,56-D4",75298479,18.071,0.00
"Nonanoic acid",0,0.000,0.00
"Decanoic acid",0,0.000,0.00
"Undecanoic acid",0,0.000,0.00
"Dodecanoic acid",173569,19.726,0.00
"Tridecanoic acid",0,0.000,0.00
"Tetradecanoic acid",38165,24.292,0.00
"Pentadecanoic acid ",4558,26.409,0.00
"Hexadecanoic acid",120798,28.430,0.00
"Heptadecanoic acid",0,0.000,0.00
"Octadecanoic acid",6462597,32.153,0.00
"Nonadecanoic acid",0,0.000,0.00
"Eicosanoic acid",0,0.000,0.00
"Heneicosanoic acid",0,0.000,0.00
"Docosanoic acid",0,0.000,0.00
"Tricosanoic acid",0,0.000,0.00
"Tetracosanoic acid",0,0.000,0.00
"Pentacosanoic acid",0,0.000,0.00
"Hexacosanoic acid",0,0.000,0.00
"Heptacosanoic acid",0,0.000,0.00
"Octacosanoic acid",0,0.000,0.00
"Nonacosanoic acid",0,0.000,0.00
"Triacontanoic acid",0,0.000,0.00
"Henriacontanoic acid",0,0.000,0.00
"Dotriacontanoic acid",0,0.000,0.00
"9-Hexadecenoic acid",0,0.000,0.00
"trans-9-Octadecenoic acid",0,0.000,0.00
"cis-9-Octadecenoic acid",0,0.000,0.00
"9,12-Octadecanedienoic acid",0,0.000,0.00
"Hexadecanamide",0,0.000,0.00
"9-Octdecenamide",44559,36.089,0.00
"Octadecanamide",51593,36.587,0.00
"Butanedioic Acid",9683354,6.963,0.00
"Pentanedioic Acid",3975072,9.996,0.00
"Hexanedioic Acid",575824,12.947,0.00
"Heptanedioic Acid",1469755,15.461,0.00
"Octanedioic Acid",1723599,18.120,0.00
"Nonanedioic Acid",832320,20.374,0.00
"Decanedioic acid",604719,22.733,0.00
"Benzoic acid",8109650,8.666,0.00
"m-Toluic acid",6413973,11.682,0.00
"p-Toluic acid",10866636,11.909,0.00
"1,2-Phthalic acid",19648493,18.104,0.00
"1,4-Phthalic acid",707838,19.320,0.00
"1,3-Phthalic acid",2816390,19.547,0.00
"4-Methoxybenzoic acid",11743193,16.190,0.00
"3,4-Dimethoxy benzoic acid",19648972,21.396,0.00
"4-methyl-1,2-phthalic acid",21072557,20.902,0.00
"1,2,4-Benzenetricarboxylic ",5062719,26.839,0.00
"1,3,5-Benzenetricarboxylic",15319871,28.128,0.00
"1,2,4,5-Benzenetetracarboxy",6984161,32.684,0.00
"7-Oxodehydroabietic acid",0,0.000,0.00
"Benz(de)anthracen-7-one",0,0.000,0.00
