[Header Info Signal 1 COLT 3.0]
"SDCK20191015-10.D"," ","C:\Precess Data\2019出口数据\",[GC],0
22 May 2021  00:58    ,SIM-PAHS.M,42
"SDCK20191015-10"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191015-10.D"," ","C:\Precess Data\2019出口数据\"
22 May 2021  00:58    ,SIM-PAHS.M,42
"SDCK20191015-10"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",14495831,19.352,0.00
"Hexadecanoic acid-D31",21677522,27.905,0.00
"Hentricontanioc acid-D31",17857610,38.205,0.00
"Phthalic acid 3,4,56-D4",2094807,18.055,0.00
"Nonanoic acid",22600636,12.071,0.00
"Decanoic acid",5141070,14.747,0.00
"Undecanoic acid",494132,17.601,0.00
"Dodecanoic acid",6032864,19.742,0.00
"Tridecanoic acid",1446449,22.064,0.00
"Tetradecanoic acid",8863322,24.260,0.00
"Pentadecanoic acid ",2868670,26.361,0.00
"Hexadecanoic acid",99421140,28.382,0.00
"Heptadecanoic acid",1432709,30.292,0.00
"Octadecanoic acid",35557437,32.119,0.00
"Nonadecanoic acid",261701,33.880,0.00
"Eicosanoic acid",1744771,35.574,0.00
"Heneicosanoic acid",269553,37.183,0.00
"Docosanoic acid",1553105,38.752,0.00
"Tricosanoic acid",616140,40.266,0.00
"Tetracosanoic acid",1314881,41.715,0.00
"Pentacosanoic acid",325940,43.099,0.00
"Hexacosanoic acid",508855,44.466,0.00
"Heptacosanoic acid",117057,45.764,0.00
"Octacosanoic acid",477381,47.046,0.00
"Nonacosanoic acid",84649,48.379,0.00
"Triacontanoic acid",383848,49.968,0.00
"Henriacontanoic acid",17281,51.950,0.00
"Dotriacontanoic acid",224075,54.114,0.00
"9-Hexadecenoic acid",12089825,28.382,0.00
"trans-9-Octadecenoic acid",7071553,31.654,0.00
"cis-9-Octadecenoic acid",1388926,31.771,0.00
"9,12-Octadecanedienoic acid",3179792,31.654,0.00
"Hexadecanamide",1105256,33.033,0.00
"9-Octdecenamide",1152322,36.106,0.00
"Octadecanamide",619833,36.521,0.00
"Butanedioic Acid",808443,6.947,0.00
"Pentanedioic Acid",84787,9.834,0.00
"Hexanedioic Acid",355035,12.704,0.00
"Heptanedioic Acid",57721,15.347,0.00
"Octanedioic Acid",62731,17.925,0.00
"Nonanedioic Acid",293935,20.325,0.00
"Decanedioic acid",58619,22.637,0.00
"Benzoic acid",4263421,8.617,0.00
"m-Toluic acid",1502336,11.585,0.00
"p-Toluic acid",1215458,11.828,0.00
"1,2-Phthalic acid",5136162,18.104,0.00
"1,4-Phthalic acid",384646,19.223,0.00
"1,3-Phthalic acid",197454,19.515,0.00
"4-Methoxybenzoic acid",223752,16.142,0.00
"3,4-Dimethoxy benzoic acid",77058,21.412,0.00
"4-methyl-1,2-phthalic acid",1002864,20.902,0.00
"1,2,4-Benzenetricarboxylic ",93155,26.775,0.00
"1,3,5-Benzenetricarboxylic",4205,28.128,0.00
"1,2,4,5-Benzenetetracarboxy",32458,32.568,0.00
"7-Oxodehydroabietic acid",156948,39.573,0.00
"Benz(de)anthracen-7-one",129265,38.369,0.00
