[Header Info Signal 1 COLT 3.0]
"SDCK20191015-1.D"," ","C:\Precess Data\2019出口数据\",[GC],0
21 May 2021  13:54    ,SIM-PAHS.M,33
"SDCK20191015-1"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191015-1.D"," ","C:\Precess Data\2019出口数据\"
21 May 2021  13:54    ,SIM-PAHS.M,33
"SDCK20191015-1"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",12483643,19.352,0.00
"Hexadecanoic acid-D31",17946472,27.915,0.00
"Hentricontanioc acid-D31",14274840,38.205,0.00
"Phthalic acid 3,4,56-D4",10203557,18.055,0.00
"Nonanoic acid",13788070,12.071,0.00
"Decanoic acid",3045370,14.758,0.00
"Undecanoic acid",105962,17.601,0.00
"Dodecanoic acid",3859835,19.742,0.00
"Tridecanoic acid",804901,22.064,0.00
"Tetradecanoic acid",5569483,24.260,0.00
"Pentadecanoic acid ",1909011,26.361,0.00
"Hexadecanoic acid",50751433,28.366,0.00
"Heptadecanoic acid",666198,30.292,0.00
"Octadecanoic acid",15850047,32.119,0.00
"Nonadecanoic acid",98910,33.880,0.00
"Eicosanoic acid",566231,35.574,0.00
"Heneicosanoic acid",124695,37.183,0.00
"Docosanoic acid",488173,38.752,0.00
"Tricosanoic acid",181276,40.266,0.00
"Tetracosanoic acid",420195,41.715,0.00
"Pentacosanoic acid",135111,43.099,0.00
"Hexacosanoic acid",156985,44.449,0.00
"Heptacosanoic acid",30396,45.747,0.00
"Octacosanoic acid",158324,47.029,0.00
"Nonacosanoic acid",14685,48.498,0.00
"Triacontanoic acid",86012,49.968,0.00
"Henriacontanoic acid",14798,52.035,0.00
"Dotriacontanoic acid",53234,54.114,0.00
"9-Hexadecenoic acid",6394150,28.382,0.00
"trans-9-Octadecenoic acid",4968740,31.621,0.00
"cis-9-Octadecenoic acid",550537,31.770,0.00
"9,12-Octadecanedienoic acid",1637471,31.654,0.00
"Hexadecanamide",728263,33.066,0.00
"9-Octdecenamide",714380,36.106,0.00
"Octadecanamide",395364,36.537,0.00
"Butanedioic Acid",1830050,6.947,0.00
"Pentanedioic Acid",296792,9.834,0.00
"Hexanedioic Acid",373376,12.704,0.00
"Heptanedioic Acid",47509,15.347,0.00
"Octanedioic Acid",67018,17.909,0.00
"Nonanedioic Acid",266813,20.342,0.00
"Decanedioic acid",49973,22.653,0.00
"Benzoic acid",17045535,8.601,0.00
"m-Toluic acid",1483584,11.601,0.00
"p-Toluic acid",1101640,11.828,0.00
"1,2-Phthalic acid",12691629,18.088,0.00
"1,4-Phthalic acid",699651,19.239,0.00
"1,3-Phthalic acid",39205,19.515,0.00
"4-Methoxybenzoic acid",220421,16.158,0.00
"3,4-Dimethoxy benzoic acid",58967,21.428,0.00
"4-methyl-1,2-phthalic acid",1528072,20.902,0.00
"1,2,4-Benzenetricarboxylic ",200983,26.775,0.00
"1,3,5-Benzenetricarboxylic",12192,28.144,0.00
"1,2,4,5-Benzenetetracarboxy",21201,32.634,0.00
"7-Oxodehydroabietic acid",83598,39.573,0.00
"Benz(de)anthracen-7-one",22650,38.205,0.00
