[Header Info Signal 1 COLT 3.0]
"SDCK20191017-6.D"," ","C:\Precess Data\2019出口数据\",[GC],0
22 May 2021  23:03    ,SIM-PAHS.M,17
"SDCK20191017-6"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191017-6.D"," ","C:\Precess Data\2019出口数据\"
22 May 2021  23:03    ,SIM-PAHS.M,17
"SDCK20191017-6"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",11689670,19.336,0.00
"Hexadecanoic acid-D31",17062508,27.905,0.00
"Hentricontanioc acid-D31",14927389,38.223,0.00
"Phthalic acid 3,4,56-D4",17989755,18.055,0.00
"Nonanoic acid",1699225,12.072,0.00
"Decanoic acid",571252,14.747,0.00
"Undecanoic acid",141470,17.585,0.00
"Dodecanoic acid",2763306,19.742,0.00
"Tridecanoic acid",843046,22.064,0.00
"Tetradecanoic acid",5487419,24.261,0.00
"Pentadecanoic acid ",1802136,26.361,0.00
"Hexadecanoic acid",60060911,28.383,0.00
"Heptadecanoic acid",749150,30.292,0.00
"Octadecanoic acid",17945374,32.119,0.00
"Nonadecanoic acid",134978,33.880,0.00
"Eicosanoic acid",691819,35.574,0.00
"Heneicosanoic acid",138427,37.183,0.00
"Docosanoic acid",728732,38.770,0.00
"Tricosanoic acid",284113,40.266,0.00
"Tetracosanoic acid",727224,41.732,0.00
"Pentacosanoic acid",188633,43.116,0.00
"Hexacosanoic acid",290276,44.449,0.00
"Heptacosanoic acid",70942,45.765,0.00
"Octacosanoic acid",226406,47.029,0.00
"Nonacosanoic acid",71231,48.379,0.00
"Triacontanoic acid",230141,49.985,0.00
"Henriacontanoic acid",23641,51.984,0.00
"Dotriacontanoic acid",87618,54.114,0.00
"9-Hexadecenoic acid",7435963,28.383,0.00
"trans-9-Octadecenoic acid",4650465,31.621,0.00
"cis-9-Octadecenoic acid",580412,31.771,0.00
"9,12-Octadecanedienoic acid",1884076,31.654,0.00
"Hexadecanamide",793190,33.039,0.00
"9-Octdecenamide",916339,36.108,0.00
"Octadecanamide",465972,36.531,0.00
"Butanedioic Acid",5890738,6.931,0.00
"Pentanedioic Acid",888163,9.720,0.00
"Hexanedioic Acid",611210,12.704,0.00
"Heptanedioic Acid",76961,15.315,0.00
"Octanedioic Acid",69515,17.893,0.00
"Nonanedioic Acid",550670,20.326,0.00
"Decanedioic acid",72349,22.637,0.00
"Benzoic acid",962426,8.601,0.00
"m-Toluic acid",111640,11.585,0.00
"p-Toluic acid",38952,11.812,0.00
"1,2-Phthalic acid",22831182,18.088,0.00
"1,4-Phthalic acid",2966817,19.190,0.00
"1,3-Phthalic acid",621112,19.499,0.00
"4-Methoxybenzoic acid",297670,16.109,0.00
"3,4-Dimethoxy benzoic acid",171512,21.380,0.00
"4-methyl-1,2-phthalic acid",4245828,20.887,0.00
"1,2,4-Benzenetricarboxylic ",4322291,26.743,0.00
"1,3,5-Benzenetricarboxylic",75050,28.144,0.00
"1,2,4,5-Benzenetetracarboxy",637970,32.601,0.00
"7-Oxodehydroabietic acid",81184,39.628,0.00
"Benz(de)anthracen-7-one",77748,38.314,0.00
