[Header Info Signal 1 COLT 3.0]
"SDCK20191015-6.D"," ","C:\Precess Data\2019出口数据\",[GC],0
21 May 2021  20:03    ,SIM-PAHS.M,38
"SDCK20191015-6"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191015-6.D"," ","C:\Precess Data\2019出口数据\"
21 May 2021  20:03    ,SIM-PAHS.M,38
"SDCK20191015-6"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",9997104,19.353,0.00
"Hexadecanoic acid-D31",13747168,27.905,0.00
"Hentricontanioc acid-D31",10799257,38.223,0.00
"Phthalic acid 3,4,56-D4",6101922,18.055,0.00
"Nonanoic acid",13972036,12.072,0.00
"Decanoic acid",3488902,14.747,0.00
"Undecanoic acid",31632,17.553,0.00
"Dodecanoic acid",3639759,19.742,0.00
"Tridecanoic acid",842580,22.064,0.00
"Tetradecanoic acid",5546120,24.261,0.00
"Pentadecanoic acid ",1950466,26.361,0.00
"Hexadecanoic acid",41434180,28.367,0.00
"Heptadecanoic acid",547572,30.292,0.00
"Octadecanoic acid",9532433,32.119,0.00
"Nonadecanoic acid",77956,33.880,0.00
"Eicosanoic acid",418779,35.574,0.00
"Heneicosanoic acid",63452,37.183,0.00
"Docosanoic acid",300125,38.789,0.00
"Tricosanoic acid",115594,40.266,0.00
"Tetracosanoic acid",334239,41.732,0.00
"Pentacosanoic acid",74341,43.116,0.00
"Hexacosanoic acid",149768,44.466,0.00
"Heptacosanoic acid",44527,45.747,0.00
"Octacosanoic acid",65810,47.029,0.00
"Nonacosanoic acid",6899,48.481,0.00
"Triacontanoic acid",78468,49.968,0.00
"Henriacontanoic acid",19660,51.950,0.00
"Dotriacontanoic acid",26185,54.131,0.00
"9-Hexadecenoic acid",4879631,28.367,0.00
"trans-9-Octadecenoic acid",4527282,31.621,0.00
"cis-9-Octadecenoic acid",397231,31.754,0.00
"9,12-Octadecanedienoic acid",2157610,31.654,0.00
"Hexadecanamide",446519,33.066,0.00
"9-Octdecenamide",494417,36.123,0.00
"Octadecanamide",1135332,36.732,0.00
"Butanedioic Acid",1591886,6.947,0.00
"Pentanedioic Acid",184664,9.785,0.00
"Hexanedioic Acid",350265,12.720,0.00
"Heptanedioic Acid",46994,15.347,0.00
"Octanedioic Acid",47656,17.909,0.00
"Nonanedioic Acid",262380,20.326,0.00
"Decanedioic acid",23890,22.637,0.00
"Benzoic acid",9720976,8.601,0.00
"m-Toluic acid",1245822,11.601,0.00
"p-Toluic acid",903395,11.845,0.00
"1,2-Phthalic acid",7464379,18.104,0.00
"1,4-Phthalic acid",425582,19.239,0.00
"1,3-Phthalic acid",48694,19.515,0.00
"4-Methoxybenzoic acid",274533,16.142,0.00
"3,4-Dimethoxy benzoic acid",72983,21.396,0.00
"4-methyl-1,2-phthalic acid",1648099,20.887,0.00
"1,2,4-Benzenetricarboxylic ",64141,26.775,0.00
"1,3,5-Benzenetricarboxylic",7331,28.112,0.00
"1,2,4,5-Benzenetetracarboxy",32304,32.585,0.00
"7-Oxodehydroabietic acid",56883,39.607,0.00
"Benz(de)anthracen-7-one",14372,38.218,0.00
