[Header Info Signal 1 COLT 3.0]
"SDCK20191014-12.D"," ","C:\Precess Data\2019出口数据\",[GC],0
21 May 2021  12:40    ,SIM-PAHS.M,32
"SDCK20191014-12"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191014-12.D"," ","C:\Precess Data\2019出口数据\"
21 May 2021  12:40    ,SIM-PAHS.M,32
"SDCK20191014-12"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",12954719,19.352,0.00
"Hexadecanoic acid-D31",18386304,27.905,0.00
"Hentricontanioc acid-D31",16065677,38.224,0.00
"Phthalic acid 3,4,56-D4",1821565,18.071,0.00
"Nonanoic acid",16875065,12.071,0.00
"Decanoic acid",4212577,14.747,0.00
"Undecanoic acid",2144736,17.585,0.00
"Dodecanoic acid",5095613,19.742,0.00
"Tridecanoic acid",963189,22.064,0.00
"Tetradecanoic acid",7026863,24.260,0.00
"Pentadecanoic acid ",2090877,26.361,0.00
"Hexadecanoic acid",273874929,28.398,0.00
"Heptadecanoic acid",3895255,30.292,0.00
"Octadecanoic acid",187697466,32.143,0.00
"Nonadecanoic acid",467215,33.880,0.00
"Eicosanoic acid",10024678,35.574,0.00
"Heneicosanoic acid",36144308,37.347,0.00
"Docosanoic acid",4558118,38.770,0.00
"Tricosanoic acid",515431,40.266,0.00
"Tetracosanoic acid",1277560,41.715,0.00
"Pentacosanoic acid",1343867,43.133,0.00
"Hexacosanoic acid",225348,44.466,0.00
"Heptacosanoic acid",623442,45.833,0.00
"Octacosanoic acid",243071,47.029,0.00
"Nonacosanoic acid",144010,48.396,0.00
"Triacontanoic acid",164276,49.985,0.00
"Henriacontanoic acid",18919,51.967,0.00
"Dotriacontanoic acid",76949,54.098,0.00
"9-Hexadecenoic acid",35841802,28.398,0.00
"trans-9-Octadecenoic acid",2300156,31.654,0.00
"cis-9-Octadecenoic acid",748868,31.770,0.00
"9,12-Octadecanedienoic acid",1387291,31.654,0.00
"Hexadecanamide",1505779,33.060,0.00
"9-Octdecenamide",2276579,36.125,0.00
"Octadecanamide",976517,36.554,0.00
"Butanedioic Acid",246909,6.931,0.00
"Pentanedioic Acid",123798,9.866,0.00
"Hexanedioic Acid",230581,12.704,0.00
"Heptanedioic Acid",66398,15.331,0.00
"Octanedioic Acid",39246,17.925,0.00
"Nonanedioic Acid",351936,20.325,0.00
"Decanedioic acid",34304,22.669,0.00
"Benzoic acid",19131078,8.601,0.00
"m-Toluic acid",1580540,11.601,0.00
"p-Toluic acid",1058131,11.828,0.00
"1,2-Phthalic acid",4518245,18.104,0.00
"1,4-Phthalic acid",320941,19.255,0.00
"1,3-Phthalic acid",153066,19.515,0.00
"4-Methoxybenzoic acid",242458,16.142,0.00
"3,4-Dimethoxy benzoic acid",47972,21.427,0.00
"4-methyl-1,2-phthalic acid",815817,20.902,0.00
"1,2,4-Benzenetricarboxylic ",16758,26.759,0.00
"1,3,5-Benzenetricarboxylic",2756,28.159,0.00
"1,2,4,5-Benzenetetracarboxy",8622,32.618,0.00
"7-Oxodehydroabietic acid",113254,39.646,0.00
"Benz(de)anthracen-7-one",0,0.000,0.00
