[Header Info Signal 1 COLT 3.0]
"SDCK20191014-4.D"," ","C:\Precess Data\2019出口数据\",[GC],0
21 May 2021   2:50    ,SIM-PAHS.M,24
"SDCK20191014-4"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191014-4.D"," ","C:\Precess Data\2019出口数据\"
21 May 2021   2:50    ,SIM-PAHS.M,24
"SDCK20191014-4"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",606040,19.515,0.00
"Hexadecanoic acid-D31",924086,27.953,0.00
"Hentricontanioc acid-D31",257266,38.260,0.00
"Phthalic acid 3,4,56-D4",68523,18.412,0.00
"Nonanoic acid",1107137,12.347,0.00
"Decanoic acid",91798,15.023,0.00
"Undecanoic acid",0,0.000,0.00
"Dodecanoic acid",30924,19.725,0.00
"Tridecanoic acid",1739,22.064,0.00
"Tetradecanoic acid",265338,24.372,0.00
"Pentadecanoic acid ",144669,26.504,0.00
"Hexadecanoic acid",2778703,28.398,0.00
"Heptadecanoic acid",15781,30.375,0.00
"Octadecanoic acid",636946,32.169,0.00
"Nonadecanoic acid",50931,34.013,0.00
"Eicosanoic acid",0,0.000,0.00
"Heneicosanoic acid",20440,37.238,0.00
"Docosanoic acid",5762,38.770,0.00
"Tricosanoic acid",9469,40.129,0.00
"Tetracosanoic acid",0,0.000,0.00
"Pentacosanoic acid",0,0.000,0.00
"Hexacosanoic acid",0,0.000,0.00
"Heptacosanoic acid",0,0.000,0.00
"Octacosanoic acid",0,0.000,0.00
"Nonacosanoic acid",0,0.000,0.00
"Triacontanoic acid",0,0.000,0.00
"Henriacontanoic acid",0,0.000,0.00
"Dotriacontanoic acid",18089,54.130,0.00
"9-Hexadecenoic acid",324729,28.398,0.00
"trans-9-Octadecenoic acid",65763,31.638,0.00
"cis-9-Octadecenoic acid",101891,31.721,0.00
"9,12-Octadecanedienoic acid",54894,31.687,0.00
"Hexadecanamide",0,0.000,0.00
"9-Octdecenamide",0,0.000,0.00
"Octadecanamide",0,0.000,0.00
"Butanedioic Acid",0,0.000,0.00
"Pentanedioic Acid",0,0.000,0.00
"Hexanedioic Acid",0,0.000,0.00
"Heptanedioic Acid",0,0.000,0.00
"Octanedioic Acid",0,0.000,0.00
"Nonanedioic Acid",0,0.000,0.00
"Decanedioic acid",0,0.000,0.00
"Benzoic acid",172707,8.925,0.00
"m-Toluic acid",0,0.000,0.00
"p-Toluic acid",0,0.000,0.00
"1,2-Phthalic acid",187279,18.412,0.00
"1,4-Phthalic acid",0,0.000,0.00
"1,3-Phthalic acid",15162,19.498,0.00
"4-Methoxybenzoic acid",793,16.093,0.00
"3,4-Dimethoxy benzoic acid",14855,21.396,0.00
"4-methyl-1,2-phthalic acid",1528,20.871,0.00
"1,2,4-Benzenetricarboxylic ",0,0.000,0.00
"1,3,5-Benzenetricarboxylic",0,0.000,0.00
"1,2,4,5-Benzenetetracarboxy",0,0.000,0.00
"7-Oxodehydroabietic acid",0,0.000,0.00
"Benz(de)anthracen-7-one",0,0.000,0.00
