[Header Info Signal 1 COLT 3.0]
"SDCK20191019-7.D"," ","C:\Precess Data\2019出口数据\",[GC],0
24 May 2021   4:26    ,SIM-PAHS.M,41
"SDCK20191019-7"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191019-7.D"," ","C:\Precess Data\2019出口数据\"
24 May 2021   4:26    ,SIM-PAHS.M,41
"SDCK20191019-7"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",10639736,19.336,0.00
"Hexadecanoic acid-D31",15677772,27.905,0.00
"Hentricontanioc acid-D31",13095500,38.205,0.00
"Phthalic acid 3,4,56-D4",11464270,18.055,0.00
"Nonanoic acid",1121427,12.071,0.00
"Decanoic acid",326152,14.747,0.00
"Undecanoic acid",47301,17.569,0.00
"Dodecanoic acid",879802,19.742,0.00
"Tridecanoic acid",289405,22.096,0.00
"Tetradecanoic acid",971428,24.260,0.00
"Pentadecanoic acid ",423379,26.361,0.00
"Hexadecanoic acid",13655512,28.366,0.00
"Heptadecanoic acid",211373,30.292,0.00
"Octadecanoic acid",11377885,32.119,0.00
"Nonadecanoic acid",26295,33.863,0.00
"Eicosanoic acid",202264,35.574,0.00
"Heneicosanoic acid",16791,37.201,0.00
"Docosanoic acid",194896,38.789,0.00
"Tricosanoic acid",49909,40.248,0.00
"Tetracosanoic acid",124497,41.749,0.00
"Pentacosanoic acid",39140,43.116,0.00
"Hexacosanoic acid",61851,44.449,0.00
"Heptacosanoic acid",24730,45.764,0.00
"Octacosanoic acid",51371,47.029,0.00
"Nonacosanoic acid",44695,48.362,0.00
"Triacontanoic acid",68747,49.951,0.00
"Henriacontanoic acid",10459,51.950,0.00
"Dotriacontanoic acid",52753,54.082,0.00
"9-Hexadecenoic acid",1925344,28.366,0.00
"trans-9-Octadecenoic acid",3263723,31.621,0.00
"cis-9-Octadecenoic acid",404065,31.737,0.00
"9,12-Octadecanedienoic acid",949993,31.638,0.00
"Hexadecanamide",211755,33.035,0.00
"9-Octdecenamide",373505,36.103,0.00
"Octadecanamide",165683,36.521,0.00
"Butanedioic Acid",3440556,6.947,0.00
"Pentanedioic Acid",392448,9.752,0.00
"Hexanedioic Acid",401061,12.704,0.00
"Heptanedioic Acid",55336,15.315,0.00
"Octanedioic Acid",38248,17.893,0.00
"Nonanedioic Acid",172144,20.325,0.00
"Decanedioic acid",56787,22.637,0.00
"Benzoic acid",856783,8.601,0.00
"m-Toluic acid",285085,11.585,0.00
"p-Toluic acid",200978,11.812,0.00
"1,2-Phthalic acid",17186280,18.088,0.00
"1,4-Phthalic acid",1963223,19.190,0.00
"1,3-Phthalic acid",494851,19.515,0.00
"4-Methoxybenzoic acid",31649,16.125,0.00
"3,4-Dimethoxy benzoic acid",52921,21.380,0.00
"4-methyl-1,2-phthalic acid",3128423,20.886,0.00
"1,2,4-Benzenetricarboxylic ",689346,26.743,0.00
"1,3,5-Benzenetricarboxylic",23524,28.144,0.00
"1,2,4,5-Benzenetetracarboxy",32944,32.601,0.00
"7-Oxodehydroabietic acid",36768,39.609,0.00
"Benz(de)anthracen-7-one",20736,38.205,0.00
