[Header Info Signal 1 COLT 3.0]
"SDCK20191018-7.D"," ","C:\Precess Data\2019出口数据\",[GC],0
23 May 2021  14:57    ,SIM-PAHS.M,30
"SDCK20191018-7"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191018-7.D"," ","C:\Precess Data\2019出口数据\"
23 May 2021  14:57    ,SIM-PAHS.M,30
"SDCK20191018-7"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",11399517,19.352,0.00
"Hexadecanoic acid-D31",16282857,27.905,0.00
"Hentricontanioc acid-D31",12915871,38.205,0.00
"Phthalic acid 3,4,56-D4",14841665,18.055,0.00
"Nonanoic acid",1826248,12.088,0.00
"Decanoic acid",778998,14.747,0.00
"Undecanoic acid",41463,17.601,0.00
"Dodecanoic acid",1378725,19.742,0.00
"Tridecanoic acid",363762,22.064,0.00
"Tetradecanoic acid",2210143,24.260,0.00
"Pentadecanoic acid ",849724,26.361,0.00
"Hexadecanoic acid",22392311,28.366,0.00
"Heptadecanoic acid",294153,30.292,0.00
"Octadecanoic acid",5518930,32.119,0.00
"Nonadecanoic acid",51738,33.880,0.00
"Eicosanoic acid",228037,35.574,0.00
"Heneicosanoic acid",40488,37.201,0.00
"Docosanoic acid",216841,38.752,0.00
"Tricosanoic acid",73199,40.266,0.00
"Tetracosanoic acid",115905,41.698,0.00
"Pentacosanoic acid",41807,43.099,0.00
"Hexacosanoic acid",44234,44.449,0.00
"Heptacosanoic acid",59063,45.747,0.00
"Octacosanoic acid",48453,47.029,0.00
"Nonacosanoic acid",9438,48.447,0.00
"Triacontanoic acid",59475,49.951,0.00
"Henriacontanoic acid",6134,51.984,0.00
"Dotriacontanoic acid",12073,54.147,0.00
"9-Hexadecenoic acid",2985490,28.366,0.00
"trans-9-Octadecenoic acid",3579043,31.621,0.00
"cis-9-Octadecenoic acid",280877,31.770,0.00
"9,12-Octadecanedienoic acid",1174298,31.654,0.00
"Hexadecanamide",227251,33.045,0.00
"9-Octdecenamide",195472,36.104,0.00
"Octadecanamide",102500,36.527,0.00
"Butanedioic Acid",4827405,6.931,0.00
"Pentanedioic Acid",219991,9.817,0.00
"Hexanedioic Acid",433436,12.639,0.00
"Heptanedioic Acid",45752,15.331,0.00
"Octanedioic Acid",68904,17.893,0.00
"Nonanedioic Acid",318378,20.325,0.00
"Decanedioic acid",47948,22.621,0.00
"Benzoic acid",553269,8.617,0.00
"m-Toluic acid",65241,11.601,0.00
"p-Toluic acid",42824,11.861,0.00
"1,2-Phthalic acid",14138768,18.088,0.00
"1,4-Phthalic acid",1145907,19.207,0.00
"1,3-Phthalic acid",224303,19.531,0.00
"4-Methoxybenzoic acid",150817,16.125,0.00
"3,4-Dimethoxy benzoic acid",79021,21.396,0.00
"4-methyl-1,2-phthalic acid",2811185,20.886,0.00
"1,2,4-Benzenetricarboxylic ",1492786,26.743,0.00
"1,3,5-Benzenetricarboxylic",38847,28.128,0.00
"1,2,4,5-Benzenetetracarboxy",185310,32.601,0.00
"7-Oxodehydroabietic acid",21014,39.573,0.00
"Benz(de)anthracen-7-one",18170,38.223,0.00
