[Header Info Signal 1 COLT 3.0]
"SDCK20191017-3.D"," ","C:\Precess Data\2019出口数据\",[GC],0
22 May 2021  19:22    ,SIM-PAHS.M,14
"SDCK20191017-3"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191017-3.D"," ","C:\Precess Data\2019出口数据\"
22 May 2021  19:22    ,SIM-PAHS.M,14
"SDCK20191017-3"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",11347101,19.352,0.00
"Hexadecanoic acid-D31",16973322,27.905,0.00
"Hentricontanioc acid-D31",13642176,38.223,0.00
"Phthalic acid 3,4,56-D4",17264434,18.055,0.00
"Nonanoic acid",1535808,12.071,0.00
"Decanoic acid",748310,14.747,0.00
"Undecanoic acid",109337,17.585,0.00
"Dodecanoic acid",2528087,19.742,0.00
"Tridecanoic acid",597782,22.064,0.00
"Tetradecanoic acid",4316021,24.260,0.00
"Pentadecanoic acid ",1737003,26.361,0.00
"Hexadecanoic acid",30155270,28.366,0.00
"Heptadecanoic acid",464131,30.292,0.00
"Octadecanoic acid",7961344,32.119,0.00
"Nonadecanoic acid",79590,33.896,0.00
"Eicosanoic acid",301234,35.574,0.00
"Heneicosanoic acid",74554,37.201,0.00
"Docosanoic acid",320108,38.788,0.00
"Tricosanoic acid",130196,40.266,0.00
"Tetracosanoic acid",312819,41.732,0.00
"Pentacosanoic acid",85708,43.099,0.00
"Hexacosanoic acid",110467,44.466,0.00
"Heptacosanoic acid",35124,45.764,0.00
"Octacosanoic acid",85472,47.029,0.00
"Nonacosanoic acid",26360,48.396,0.00
"Triacontanoic acid",71983,49.968,0.00
"Henriacontanoic acid",7598,51.967,0.00
"Dotriacontanoic acid",69213,54.114,0.00
"9-Hexadecenoic acid",3694200,28.366,0.00
"trans-9-Octadecenoic acid",3565528,31.621,0.00
"cis-9-Octadecenoic acid",368354,31.787,0.00
"9,12-Octadecanedienoic acid",1356243,31.654,0.00
"Hexadecanamide",677024,33.033,0.00
"9-Octdecenamide",1219648,36.105,0.00
"Octadecanamide",651626,36.521,0.00
"Butanedioic Acid",5462568,6.931,0.00
"Pentanedioic Acid",660373,9.720,0.00
"Hexanedioic Acid",367474,12.704,0.00
"Heptanedioic Acid",53592,15.331,0.00
"Octanedioic Acid",41311,17.893,0.00
"Nonanedioic Acid",279882,20.325,0.00
"Decanedioic acid",35147,22.637,0.00
"Benzoic acid",828074,8.601,0.00
"m-Toluic acid",107674,11.601,0.00
"p-Toluic acid",46202,11.844,0.00
"1,2-Phthalic acid",12276473,18.088,0.00
"1,4-Phthalic acid",1267307,19.206,0.00
"1,3-Phthalic acid",371238,19.515,0.00
"4-Methoxybenzoic acid",217456,16.125,0.00
"3,4-Dimethoxy benzoic acid",93396,21.380,0.00
"4-methyl-1,2-phthalic acid",2327808,20.886,0.00
"1,2,4-Benzenetricarboxylic ",1998067,26.743,0.00
"1,3,5-Benzenetricarboxylic",51151,28.128,0.00
"1,2,4,5-Benzenetetracarboxy",473273,32.601,0.00
"7-Oxodehydroabietic acid",137844,39.591,0.00
"Benz(de)anthracen-7-one",20918,38.259,0.00
