[Header Info Signal 1 COLT 3.0]
"SDCK20191019-10.D"," ","C:\Precess Data\2019出口数据\",[GC],0
24 May 2021  20:06    ,SIM-PAHS.M,3
"SDCK20191019-10"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191019-10.D"," ","C:\Precess Data\2019出口数据\"
24 May 2021  20:06    ,SIM-PAHS.M,3
"SDCK20191019-10"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",11608981,19.336,0.00
"Hexadecanoic acid-D31",16172349,27.905,0.00
"Hentricontanioc acid-D31",13114421,38.205,0.00
"Phthalic acid 3,4,56-D4",9543089,18.055,0.00
"Nonanoic acid",1841823,12.071,0.00
"Decanoic acid",428229,14.747,0.00
"Undecanoic acid",462034,17.569,0.00
"Dodecanoic acid",904511,19.742,0.00
"Tridecanoic acid",275224,22.064,0.00
"Tetradecanoic acid",1227545,24.260,0.00
"Pentadecanoic acid ",550154,26.361,0.00
"Hexadecanoic acid",16990104,28.366,0.00
"Heptadecanoic acid",262945,30.292,0.00
"Octadecanoic acid",6827636,32.119,0.00
"Nonadecanoic acid",34612,33.863,0.00
"Eicosanoic acid",316128,35.557,0.00
"Heneicosanoic acid",41376,37.183,0.00
"Docosanoic acid",293749,38.770,0.00
"Tricosanoic acid",88593,40.248,0.00
"Tetracosanoic acid",210072,41.749,0.00
"Pentacosanoic acid",65931,43.099,0.00
"Hexacosanoic acid",77989,44.466,0.00
"Heptacosanoic acid",13432,45.884,0.00
"Octacosanoic acid",83653,47.029,0.00
"Nonacosanoic acid",8612,48.464,0.00
"Triacontanoic acid",95916,49.951,0.00
"Henriacontanoic acid",15580,52.051,0.00
"Dotriacontanoic acid",64088,54.114,0.00
"9-Hexadecenoic acid",2379224,28.366,0.00
"trans-9-Octadecenoic acid",3842189,31.621,0.00
"cis-9-Octadecenoic acid",404619,31.737,0.00
"9,12-Octadecanedienoic acid",1289172,31.654,0.00
"Hexadecanamide",223527,33.029,0.00
"9-Octdecenamide",215409,36.103,0.00
"Octadecanamide",143714,36.521,0.00
"Butanedioic Acid",2150937,6.931,0.00
"Pentanedioic Acid",285774,9.736,0.00
"Hexanedioic Acid",306560,12.704,0.00
"Heptanedioic Acid",71403,15.315,0.00
"Octanedioic Acid",89714,17.909,0.00
"Nonanedioic Acid",374306,20.325,0.00
"Decanedioic acid",48649,22.637,0.00
"Benzoic acid",983846,8.601,0.00
"m-Toluic acid",249542,11.585,0.00
"p-Toluic acid",210088,11.828,0.00
"1,2-Phthalic acid",8515374,18.088,0.00
"1,4-Phthalic acid",3074439,19.190,0.00
"1,3-Phthalic acid",378847,19.515,0.00
"4-Methoxybenzoic acid",120649,16.125,0.00
"3,4-Dimethoxy benzoic acid",77289,21.380,0.00
"4-methyl-1,2-phthalic acid",1683733,20.886,0.00
"1,2,4-Benzenetricarboxylic ",77811,26.759,0.00
"1,3,5-Benzenetricarboxylic",4142,28.112,0.00
"1,2,4,5-Benzenetetracarboxy",8311,32.584,0.00
"7-Oxodehydroabietic acid",134735,39.664,0.00
"Benz(de)anthracen-7-one",41502,38.205,0.00
