[Header Info Signal 1 COLT 3.0]
"SDCK20191019-3.D"," ","C:\Precess Data\2019出口数据\",[GC],0
23 May 2021  23:32    ,SIM-PAHS.M,37
"SDCK20191019-3"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191019-3.D"," ","C:\Precess Data\2019出口数据\"
23 May 2021  23:32    ,SIM-PAHS.M,37
"SDCK20191019-3"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",11351398,19.336,0.00
"Hexadecanoic acid-D31",16171873,27.905,0.00
"Hentricontanioc acid-D31",12599284,38.205,0.00
"Phthalic acid 3,4,56-D4",9791456,18.055,0.00
"Nonanoic acid",8643527,12.071,0.00
"Decanoic acid",1894198,14.747,0.00
"Undecanoic acid",99260,17.585,0.00
"Dodecanoic acid",2529351,19.742,0.00
"Tridecanoic acid",588528,22.064,0.00
"Tetradecanoic acid",3593372,24.260,0.00
"Pentadecanoic acid ",1246776,26.361,0.00
"Hexadecanoic acid",34920785,28.366,0.00
"Heptadecanoic acid",540451,30.292,0.00
"Octadecanoic acid",9651379,32.119,0.00
"Nonadecanoic acid",96062,33.880,0.00
"Eicosanoic acid",455920,35.574,0.00
"Heneicosanoic acid",119714,37.183,0.00
"Docosanoic acid",592224,38.752,0.00
"Tricosanoic acid",211636,40.248,0.00
"Tetracosanoic acid",432205,41.715,0.00
"Pentacosanoic acid",132338,43.099,0.00
"Hexacosanoic acid",145623,44.449,0.00
"Heptacosanoic acid",7871,45.850,0.00
"Octacosanoic acid",144250,47.029,0.00
"Nonacosanoic acid",31706,48.396,0.00
"Triacontanoic acid",101524,49.985,0.00
"Henriacontanoic acid",14214,51.984,0.00
"Dotriacontanoic acid",46227,54.114,0.00
"9-Hexadecenoic acid",4403604,28.366,0.00
"trans-9-Octadecenoic acid",3390207,31.621,0.00
"cis-9-Octadecenoic acid",399686,31.771,0.00
"9,12-Octadecanedienoic acid",345275,31.547,0.00
"Hexadecanamide",238122,33.033,0.00
"9-Octdecenamide",224005,36.106,0.00
"Octadecanamide",147878,36.504,0.00
"Butanedioic Acid",5840281,6.931,0.00
"Pentanedioic Acid",557439,9.720,0.00
"Hexanedioic Acid",603697,12.639,0.00
"Heptanedioic Acid",88270,15.315,0.00
"Octanedioic Acid",35019,17.893,0.00
"Nonanedioic Acid",321421,20.325,0.00
"Decanedioic acid",39666,22.637,0.00
"Benzoic acid",7674391,8.601,0.00
"m-Toluic acid",1538256,11.585,0.00
"p-Toluic acid",1334219,11.812,0.00
"1,2-Phthalic acid",8423720,18.088,0.00
"1,4-Phthalic acid",1037663,19.190,0.00
"1,3-Phthalic acid",131438,19.515,0.00
"4-Methoxybenzoic acid",282564,16.125,0.00
"3,4-Dimethoxy benzoic acid",63912,21.396,0.00
"4-methyl-1,2-phthalic acid",1724185,20.886,0.00
"1,2,4-Benzenetricarboxylic ",68453,26.743,0.00
"1,3,5-Benzenetricarboxylic",3243,28.144,0.00
"1,2,4,5-Benzenetetracarboxy",9389,32.601,0.00
"7-Oxodehydroabietic acid",96832,39.573,0.00
"Benz(de)anthracen-7-one",42686,38.260,0.00
