[Header Info Signal 1 COLT 3.0]
"SDCK20191019-11.D"," ","C:\Precess Data\2019出口数据\",[GC],0
24 May 2021  21:19    ,SIM-PAHS.M,4
"SDCK20191019-11"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191019-11.D"," ","C:\Precess Data\2019出口数据\"
24 May 2021  21:19    ,SIM-PAHS.M,4
"SDCK20191019-11"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",11198329,19.336,0.00
"Hexadecanoic acid-D31",16359145,27.905,0.00
"Hentricontanioc acid-D31",12932357,38.205,0.00
"Phthalic acid 3,4,56-D4",8919933,18.055,0.00
"Nonanoic acid",1119326,12.071,0.00
"Decanoic acid",269134,14.747,0.00
"Undecanoic acid",609732,17.569,0.00
"Dodecanoic acid",730482,19.725,0.00
"Tridecanoic acid",311955,22.096,0.00
"Tetradecanoic acid",931620,24.260,0.00
"Pentadecanoic acid ",401721,26.361,0.00
"Hexadecanoic acid",13207069,28.366,0.00
"Heptadecanoic acid",252110,30.292,0.00
"Octadecanoic acid",4373775,32.119,0.00
"Nonadecanoic acid",29233,33.880,0.00
"Eicosanoic acid",284991,35.557,0.00
"Heneicosanoic acid",69618,37.201,0.00
"Docosanoic acid",411862,38.770,0.00
"Tricosanoic acid",98756,40.248,0.00
"Tetracosanoic acid",201035,41.715,0.00
"Pentacosanoic acid",91871,43.099,0.00
"Hexacosanoic acid",61106,44.466,0.00
"Heptacosanoic acid",36361,45.747,0.00
"Octacosanoic acid",66549,47.029,0.00
"Nonacosanoic acid",22136,48.430,0.00
"Triacontanoic acid",92719,49.968,0.00
"Henriacontanoic acid",15847,52.035,0.00
"Dotriacontanoic acid",50151,54.114,0.00
"9-Hexadecenoic acid",1837283,28.366,0.00
"trans-9-Octadecenoic acid",3220088,31.621,0.00
"cis-9-Octadecenoic acid",420535,31.770,0.00
"9,12-Octadecanedienoic acid",997014,31.621,0.00
"Hexadecanamide",165367,33.028,0.00
"9-Octdecenamide",210589,36.094,0.00
"Octadecanamide",146440,36.504,0.00
"Butanedioic Acid",3517426,6.931,0.00
"Pentanedioic Acid",349839,9.720,0.00
"Hexanedioic Acid",185941,12.704,0.00
"Heptanedioic Acid",54040,15.315,0.00
"Octanedioic Acid",72393,17.909,0.00
"Nonanedioic Acid",462652,20.309,0.00
"Decanedioic acid",54897,22.637,0.00
"Benzoic acid",721710,8.617,0.00
"m-Toluic acid",70263,11.585,0.00
"p-Toluic acid",50677,11.828,0.00
"1,2-Phthalic acid",6388079,18.088,0.00
"1,4-Phthalic acid",7038979,19.174,0.00
"1,3-Phthalic acid",708047,19.498,0.00
"4-Methoxybenzoic acid",52715,16.125,0.00
"3,4-Dimethoxy benzoic acid",81900,21.380,0.00
"4-methyl-1,2-phthalic acid",817265,20.886,0.00
"1,2,4-Benzenetricarboxylic ",1558545,26.743,0.00
"1,3,5-Benzenetricarboxylic",68102,28.128,0.00
"1,2,4,5-Benzenetetracarboxy",105957,32.601,0.00
"7-Oxodehydroabietic acid",103739,39.591,0.00
"Benz(de)anthracen-7-one",14370,38.205,0.00
