compounds,ACID-1,ACID-2,ACID-3,ACID-4,FA-1,FA-2,FA-3,FA-4,SDCK20191014-1,SDCK20191014-10,SDCK20191014-11,SDCK20191014-12,SDCK20191014-2,SDCK20191014-3,SDCK20191014-4,SDCK20191014-5,SDCK20191014-6,SDCK20191014-7,SDCK20191014-8,SDCK20191014-9,SDCK20191015-1,SDCK20191015-10,SDCK20191015-11,SDCK20191015-12,SDCK20191015-2,SDCK20191015-3,SDCK20191015-4,SDCK20191015-5,SDCK20191015-6,SDCK20191015-7,SDCK20191015-8,SDCK20191015-9,SDCK20191016-10,SDCK20191016-11,SDCK20191016-12,SDCK20191016-3,SDCK20191016-4,SDCK20191016-5,SDCK20191016-6,SDCK20191016-7,SDCK20191016-8,SDCK20191016-9,SDCK20191017-1,SDCK20191017-10,SDCK20191017-11,SDCK20191017-12,SDCK20191017-2,SDCK20191017-3,SDCK20191017-4,SDCK20191017-5,SDCK20191017-6,SDCK20191017-7,SDCK20191017-8,SDCK20191017-9,SDCK20191018-1,SDCK20191018-10,SDCK20191018-11,SDCK20191018-12,SDCK20191018-2,SDCK20191018-3,SDCK20191018-4,SDCK20191018-5,SDCK20191018-6,SDCK20191018-7,SDCK20191018-8,SDCK20191018-9,SDCK20191019-1,SDCK20191019-10,SDCK20191019-11,SDCK20191019-12,SDCK20191019-3,SDCK20191019-4,SDCK20191019-5,SDCK20191019-6,SDCK20191019-7,SDCK20191019-8,SDCK20191019-9
Pentadecanoic acid ,0,0,4558,0,0,0,0,0,564415,2075775,1519159,2090877,2658081,2232480,144669,3016792,1754946,1740482,2085779,2333794,1909011,2868670,829949,2648982,1961133,1363288,1854107,2163883,1950466,2531123,3276045,2816418,2258576,2071126,1718372,2337693,1735574,794120,2216369,2590088,1935774,1139838,1978453,2199629,1916004,2077545,1420887,1737003,1721988,1462239,1802136,1910422,1314972,1220365,1403561,1951072,1087587,1536022,1308114,818441,449649,106998,1879981,849724,2084963,2250578,2135807,550154,401721,765891,1246776,1168197,925473,1652260,423379,405737,372362
Hexadecanoic acid,0,0,120798,0,7516933,25659024,52999309,56847597,18319619,56973695,249450317,273874929,75289772,64899845,2778703,90061495,45232955,54704996,64703261,73428078,50751433,99421140,45536517,135496415,49305552,36104522,44003714,57879914,41434180,50856615,90829538,86299697,77254075,71190895,137290988,54461467,40177504,28231549,53874799,76324261,65926192,37643143,51229230,80188656,101743404,116827184,40868264,30155270,49562343,43552096,60060911,55243964,46389770,53232603,39093658,77900543,101403177,55131222,43407836,26845327,18486059,7968283,57569405,22392311,60304183,89611000,62478251,16990104,13207069,98282140,34920785,34392540,27913654,49918293,13655512,8235799,7808112
Heptadecanoic acid,0,0,0,0,0,0,0,0,204288,574994,3299106,3895255,932985,855772,15781,1128611,507565,613457,638168,776083,666198,1432709,597432,1909348,660520,499257,618132,836009,547572,755056,1300906,1198182,1143867,954394,1864951,787577,563474,304373,781469,1013326,836398,479651,715746,1105102,1518307,1676187,517525,464131,679828,608522,749150,686170,500618,541568,567599,915732,1411865,730995,601226,339846,212712,73441,793600,294153,687913,998463,878353,262945,252110,1501578,540451,427581,369867,670404,211373,196160,141375
Octadecanoic acid,684502,1765335,6462597,23378356,3768718,19566002,44659528,50052992,5557621,17349459,152359553,187697466,29251385,27401206,636946,30799034,12460260,14781225,14743556,21028802,15850047,35557437,21679903,68179495,14448164,9527289,12229769,18153101,9532433,13866279,29160606,27782030,27841132,23387363,72970188,17870129,11208396,8513370,16122711,26077887,17814360,10472760,16917903,29550685,52891192,62077087,12639587,7961344,16153339,12496575,17945374,15053470,11488659,11540042,10959005,22627511,58361409,16494250,11666644,7020604,4990467,2594553,17704540,5518930,16626381,22611182,18245903,6827636,4373775,69598190,9651379,10017670,7936496,13540115,11377885,3379022,2768926
Nonadecanoic acid,0,0,0,0,0,0,0,0,26413,74572,391345,467215,277317,135843,50931,211037,74889,110059,74033,100109,98910,261701,101342,270187,116422,76335,151794,132356,77956,100090,207773,186664,190453,212722,264410,132384,104967,43243,129337,231946,125183,164227,116553,190219,240294,242205,89678,79590,199037,118598,134978,114281,72092,97805,85091,151075,199029,156939,96360,61094,44275,23405,131471,51738,124083,164386,161315,34612,29233,201236,96062,76400,102520,121088,26295,16182,16471
Eicosanoic acid,0,0,0,0,310382,1869824,5744401,7395194,99046,651626,8478217,10024678,1306590,830043,0,1189778,358182,567307,443415,680050,566231,1744771,1012609,3622006,592238,433886,533361,735394,418779,613415,1282144,1186855,1740289,1214433,3797040,739618,632552,327644,655490,1033307,722599,574280,693245,1314404,2704899,3315746,565768,301234,650406,555274,691819,520374,452808,479646,504047,1195901,3439970,959838,623695,309349,204341,118306,781554,228037,620342,1247890,959091,316128,284991,4119725,455920,417253,381565,656686,202264,87175,74775
Heneicosanoic acid,0,0,0,0,0,0,0,0,24686,107003,28504925,36144308,196176,138732,20440,183833,90506,130928,92922,108113,124695,269553,79200,153163,105517,67955,106578,128971,63452,89891,158124,189933,209558,202320,10657010,118574,119564,45749,98065,130779,135138,68675,123896,207854,203777,169127,168657,74554,108173,154143,138427,83372,60139,95631,122285,192438,206660,167846,132332,110378,40418,26108,162079,40488,120477,184199,181593,41376,69618,219407,119714,103476,97232,109659,16791,15970,19478
Docosanoic acid,0,0,0,0,170092,1299830,3825152,6145883,118464,601852,3991512,4558118,1103436,796765,5762,963308,478180,432721,416421,595782,488173,1553105,592268,1911205,418813,538904,609219,781403,300125,458587,818766,866383,1421730,1058184,2242170,687549,617301,374048,598331,1009733,743765,384944,664642,1121242,1691326,1616888,453050,320108,567878,705946,728732,679348,385582,432188,574139,1127175,1796867,925340,703915,352053,169972,121907,757444,216841,554880,881055,974015,293749,411862,1940548,592224,448382,375803,701893,194896,159625,77292
Tricosanoic acid,0,0,0,0,0,0,0,0,14289,156241,437029,515431,352761,301021,9469,397732,161386,171713,138759,252274,181276,616140,107412,386746,179201,158077,307768,260650,115594,143423,288054,288056,419480,405383,316304,287770,237580,72608,288744,244658,229349,110142,203625,362291,391418,357589,184338,130196,251695,274785,284113,242153,273094,171141,189132,355861,279371,344951,270603,144724,77447,73777,292816,73199,226888,272335,411278,88593,98756,356236,211636,186479,142877,285430,49909,58771,28371
Tetracosanoic acid,0,0,0,0,0,0,1181782,2807485,66340,427658,889908,1277560,958043,661647,0,890986,392292,387772,325144,473300,420195,1314881,275920,1167557,485058,289749,590745,699437,334239,392069,665699,760796,1094374,936900,1010562,651646,460098,199220,537615,708390,507910,297102,614129,951371,1015069,1037007,463002,312819,632755,578991,727224,653727,343611,286897,475287,756767,599231,672435,669014,324147,170591,157088,643621,115905,459524,678395,976642,210072,201035,781752,432205,500367,399157,660391,124497,92126,83975
Pentacosanoic acid,0,0,0,0,0,0,0,0,21312,104442,1042239,1343867,344522,170702,0,209504,112447,140942,77203,109426,135111,325940,103593,455940,104181,78658,118727,213793,74341,104719,174056,157582,179673,183500,486931,185426,131025,29567,112343,220572,164393,114836,136019,182931,392291,453700,118067,85708,158327,164154,188633,148307,70440,79180,128431,217451,398038,162550,140396,86086,36089,52055,139754,41807,133008,179251,215715,65931,91871,576823,132338,106422,96575,177085,39140,34819,28743
Hexacosanoic acid,0,0,0,0,0,0,329988,1213549,48213,116908,260873,225348,388144,230949,0,305850,141609,123098,108419,155870,156985,508855,105808,527428,178602,80279,239176,201186,149768,144244,294665,271420,344045,339091,437851,282377,152040,55107,163931,245839,191992,94613,233500,348056,443285,422188,192097,110467,248141,227197,290276,269995,140828,104819,184704,263167,141057,227241,251639,116425,60454,67824,267998,44234,163726,264469,396621,77989,61106,372583,145623,203573,127437,270461,61851,39939,39984
Heptacosanoic acid,0,0,0,0,0,0,0,0,8112,37275,335688,623442,103294,57662,0,65258,52963,51158,29292,46219,30396,117057,14737,153546,54875,24135,28271,47814,44527,34598,82101,63722,66841,90993,84655,73278,48038,17538,30410,77310,55191,24917,35462,96076,162117,145332,5481,35124,44289,65237,70942,81273,40061,50450,51785,55267,91054,74612,64868,42459,17471,6345,68761,59063,60592,99128,87003,13432,36361,206108,7871,42499,33230,68955,24730,5236,25332
Octacosanoic acid,0,0,0,0,0,0,0,886037,28555,113294,228096,243071,289417,195063,0,305812,107563,133682,89342,136472,158324,477381,40368,468421,136058,51506,206762,197713,65810,118900,208098,238553,341919,311578,323075,233506,138104,50139,139458,315668,167926,80054,225014,413304,397855,323112,153510,85472,240578,206447,226406,268429,96049,121816,182997,254582,126501,179959,255523,132917,50716,79905,216841,48453,169962,289457,360433,83653,66549,244445,144250,143947,85396,238118,51371,47090,47371
Nonacosanoic acid,0,14917,0,0,0,0,0,0,5756,16278,117733,144010,61063,51767,0,68693,31281,8167,11510,27850,14685,84649,9681,89208,45609,17386,54121,46219,6899,6794,8871,76639,59287,77106,60197,61684,4090,13425,44462,41889,55429,37350,13423,65340,90786,54986,4908,26360,49566,68884,71231,52219,17509,23617,5788,49073,71061,38824,40173,7058,6886,17002,39867,9438,40529,67373,60345,8612,22136,126678,31706,31850,34824,46310,44695,20872,20203
Triacontanoic acid,0,0,0,0,0,0,0,0,20486,79162,193562,164276,174515,141272,0,228106,99010,97815,59815,91355,86012,383848,52763,233190,121069,49132,142092,186841,78468,89459,218855,164402,209286,220134,232116,145493,91820,36908,102716,180659,123291,70245,135754,254946,260004,259631,80203,71983,144884,159415,230141,164646,95140,69981,134353,184130,93130,164182,175159,84893,61490,68129,174933,59475,125889,171551,229721,95916,92719,298695,101524,100465,67902,131382,68747,54459,61150
Henriacontanoic acid,0,0,0,0,0,20664,0,0,3786,1459,11899,18919,28174,1042,0,14249,6537,52103,18756,8915,14798,17281,10291,16032,7705,22848,14413,13523,19660,3117,29490,41531,8134,8668,4737,1411,10671,10001,11299,7228,14699,2397,21802,8434,10804,4996,8660,7598,18321,1557,23641,4463,6268,10409,9331,11175,8979,8165,9926,7135,5624,8437,11582,6134,14796,4656,1324,15580,15847,4766,14214,4022,8276,11232,10459,5845,10234
Dotriacontanoic acid,0,0,0,0,0,0,0,0,9633,50576,99525,76949,122201,75574,18089,100438,36453,69295,2590,94739,53234,224075,31790,120901,51731,32734,78914,86768,26185,68032,72944,112992,96135,133626,107436,95609,104152,32227,96803,83258,72225,53282,74950,150584,154795,131875,76190,69213,89835,111523,87618,86256,68278,27303,63627,64256,61767,72654,103174,50043,39918,52662,70215,12073,66819,102360,114277,64088,50151,153076,46227,42454,52630,69326,52753,56894,34321
9-Hexadecenoic acid,0,0,0,0,977723,3253208,6363385,6937439,2358105,6823267,30208598,35841802,9103525,7911918,324729,11094131,5469641,6723736,7873410,8830725,6394150,12089825,5695638,16596360,6189614,4578111,5562043,7328918,4879631,6468411,11253126,10719706,9345380,8836608,16758902,6820336,5007637,3567439,6684055,8826351,8017968,4631618,6203724,9762650,12393031,14413442,5287941,3694200,6159538,5583600,7435963,6782754,5592983,6613005,4891834,9659060,12460175,6745139,5350105,3339791,2387006,1130892,7099725,2985490,7521477,10886200,7559695,2379224,1837283,12051115,4403604,4386311,3647939,6174103,1925344,1270378,1313343
trans-9-Octadecenoic acid,0,0,0,0,0,0,0,0,881038,2300715,1913302,2300156,2100409,1939872,65763,3432304,1414136,1705050,2688132,3353578,4968740,7071553,3435604,5396059,4160785,4417949,3770215,4421766,4527282,4620308,6386060,6560203,5944647,5652656,4862631,4463852,3593988,3215031,4601719,5158411,5516938,4332310,4114285,5950968,4744757,4942252,3681626,3565528,3982080,3888935,4650465,4054002,3782949,4791797,3389404,6527594,4288984,4744584,3856814,2761805,1847379,2551960,5070265,3579043,5133309,7835028,5119927,3842189,3220088,4227891,3390207,3112795,3499531,4870162,3263723,3005109,3223723
cis-9-Octadecenoic acid,0,0,0,0,0,0,0,0,83382,401580,595710,748868,700706,489905,101891,812028,379647,672237,437949,535589,550537,1388926,488768,816587,786090,548994,496552,587850,397231,730069,925357,688426,973561,649720,780148,515158,491694,382772,885831,711847,782894,490333,146058,673281,795867,802474,638440,368354,568310,366930,580412,424269,550374,637815,350699,636487,451410,515290,417635,261924,255470,314064,524399,280877,554543,691179,530779,404619,420535,436560,399686,339857,374700,506155,404065,309546,328173
"9,12-Octadecanedienoic acid",0,0,0,0,0,0,0,0,307180,1244752,1216793,1387291,1144827,2194442,54894,2806405,891689,742635,2014292,1672100,1637471,3179792,1106735,2346957,1532083,1675031,1441130,1561937,2157610,1600920,2301556,3028619,2661027,2471984,1944736,1736135,1388006,1075484,1753247,2079667,2368685,1580274,1966179,2583329,1926670,1909473,1524392,1356243,1642919,1637567,1884076,1584205,1508732,2095658,1195407,2739683,1536059,2025045,1308493,1013559,698626,658585,1838458,1174298,1925837,3342636,2050339,1289172,997014,1298958,345275,1106158,1176164,1806499,949993,826273,327757
Hexadecanamide,0,0,0,0,0,0,0,0,10012,476038,1438521,1505779,784236,746956,0,1270708,353008,406961,562940,1122162,728263,1105256,340530,807301,341182,441479,398103,511128,446519,583875,801482,618086,974392,877785,528096,527589,434750,224174,506847,854351,748084,568603,1941305,959471,869908,741683,938610,677024,1011547,673160,793190,713727,401163,446759,532129,448899,406656,466311,429934,259491,101628,45178,408180,227251,433393,732034,531384,223527,165367,335147,238122,322370,216278,331099,211755,161019,145304
9-Octdecenamide,0,46818,44559,0,25303,45900,41186,0,2646,478937,1846014,2276579,926646,517009,0,1135647,257452,377623,701826,1245962,714380,1152322,459364,727536,449216,607919,409347,609647,494417,699801,909337,779133,907119,748182,545080,576846,598806,336108,713280,1173964,1034433,793649,3075524,894310,789499,517809,998089,1219648,1334906,743370,916339,828775,382917,403865,722341,344272,489359,361678,550882,227190,113925,84550,406653,195472,392086,713025,390042,215409,210589,418500,224005,419136,332358,411176,373505,240500,183515
Octadecanamide,0,23238,51593,129984,25101,23181,0,0,4650,3460701,925967,976517,9231412,299664,0,512450,206380,897981,268735,659351,395364,619833,245724,448361,575372,276775,275448,277948,1135332,354963,410735,355314,472206,426162,320206,309722,246893,156318,312902,5065519,481030,332453,1750361,582076,570355,447114,712296,651626,806846,540385,465972,513553,321282,276675,278051,247290,257602,201345,292399,117147,58652,47485,219300,102500,203620,309641,243788,143714,146440,264946,147878,216751,134537,219847,165683,112744,132187
