compounds,ACID-1,ACID-2,ACID-3,ACID-4,FA-1,FA-2,FA-3,FA-4,SDCK20191014-1,SDCK20191014-10,SDCK20191014-11,SDCK20191014-12,SDCK20191014-2,SDCK20191014-3,SDCK20191014-4,SDCK20191014-5,SDCK20191014-6,SDCK20191014-7,SDCK20191014-8,SDCK20191014-9,SDCK20191015-1,SDCK20191015-10,SDCK20191015-11,SDCK20191015-12,SDCK20191015-2,SDCK20191015-3,SDCK20191015-4,SDCK20191015-5,SDCK20191015-6,SDCK20191015-7,SDCK20191015-8,SDCK20191015-9,SDCK20191016-10,SDCK20191016-11,SDCK20191016-12,SDCK20191016-3,SDCK20191016-4,SDCK20191016-5,SDCK20191016-6,SDCK20191016-7,SDCK20191016-8,SDCK20191016-9,SDCK20191017-1,SDCK20191017-10,SDCK20191017-11,SDCK20191017-12,SDCK20191017-2,SDCK20191017-3,SDCK20191017-4,SDCK20191017-5,SDCK20191017-6,SDCK20191017-7,SDCK20191017-8,SDCK20191017-9,SDCK20191018-1,SDCK20191018-10,SDCK20191018-11,SDCK20191018-12,SDCK20191018-2,SDCK20191018-3,SDCK20191018-4,SDCK20191018-5,SDCK20191018-6,SDCK20191018-7,SDCK20191018-8,SDCK20191018-9,SDCK20191019-1,SDCK20191019-10,SDCK20191019-11,SDCK20191019-12,SDCK20191019-3,SDCK20191019-4,SDCK20191019-5,SDCK20191019-6,SDCK20191019-7,SDCK20191019-8,SDCK20191019-9
"1,2-Phthalic acid",4723588,2558170,19648493,43026644,55558,50821,0,0,1128033,3452767,2132781,4518245,3907103,5221000,187279,6557473,6520250,4992781,4843983,12562579,12691629,5136162,2018119,13020445,7263645,2975436,12973445,15393126,7464379,19225060,8287995,28053214,20765091,26431406,24393297,10696398,6515979,1727398,25550294,21375755,32640506,6596493,16015144,27675564,22495886,26081826,6951183,12276473,11249464,15946188,22831182,21992685,11103712,14742787,14674935,13528060,16198733,9968828,18546022,13503302,10774749,809761,34964244,14138768,15645097,25441684,8479468,8515374,6388079,10574579,8423720,15395092,15090720,30696194,17186280,16366928,14649160
"1,4-Phthalic acid",0,0,707838,3357809,0,0,0,0,16471,390707,1265479,320941,671944,280236,0,635913,148000,256253,753926,790978,699651,384646,116753,2817094,713563,1334349,1232640,1337087,425582,1096973,635862,3382067,3621684,3882290,2403907,1935554,588489,1009346,1998964,1460712,2495909,247591,2104967,2647061,2783590,2546282,1481397,1267307,2606961,2751699,2966817,2062892,1398728,1104668,1655538,2475516,1937978,3936052,2506313,1608982,937392,13030,3102505,1145907,2355501,2959576,4106320,3074439,7038979,11501783,1037663,1852568,1281531,2062349,1963223,1922678,2808068
"1,3-Phthalic acid",139308,138854,2816390,27669979,3967,14235,0,0,43873,74389,65143,153066,135855,129585,15162,114304,94934,94662,180174,341521,39205,197454,106244,426452,164925,75642,231598,207577,48694,209859,89624,414802,533672,645859,672666,109793,89304,128034,482597,394972,555999,64912,252231,550587,493270,447905,144442,371238,462838,569112,621112,568751,365353,352746,283638,493719,363957,511164,491658,424156,96773,38756,677911,224303,571875,810384,396403,378847,708047,1034735,131438,275284,146575,495842,494851,468851,625189
4-Methoxybenzoic acid,0,0,11743193,39357493,25903,9576,0,0,80798,103852,199955,242458,302213,118097,793,402671,64908,86184,233035,325246,220421,223752,57656,476801,281767,719,248644,284142,274533,371567,234613,677062,606176,650004,444011,463092,316551,18261,498105,641302,557814,217291,356039,398264,416159,334281,385743,217456,288710,298436,297670,282193,213450,159369,259350,383610,229166,288750,352534,260016,116183,3050,491121,150817,331243,517045,306587,120649,52715,120877,282564,264820,281525,594411,31649,48783,58381
"3,4-Dimethoxy benzoic acid",3367455,0,19648972,46132357,0,0,0,0,97988,7133,44079,47972,133044,172065,14855,80157,68702,63424,50241,64625,58967,77058,6852,116062,56855,30586,76777,88039,72983,84643,94261,116202,157650,118708,98466,99115,84524,30412,114652,93193,101603,79110,81982,126218,120044,102534,112887,93396,64596,120700,171512,144559,55909,117135,100263,140435,98024,124358,126786,85757,72552,27612,143660,79021,118219,159463,148267,77289,81900,117311,63912,98677,65025,133521,52921,63708,38436
"4-methyl-1,2-phthalic acid",1559958,7856224,21072557,50981562,24882,0,0,0,104093,687562,139508,815817,542777,796595,1528,1310597,1254410,1102373,1077161,2290430,1528072,1002864,264571,2980112,1659426,426229,2549923,3381557,1648099,4187272,2216720,5643375,4291819,5018890,3059216,2666493,1353525,193489,6497333,5492743,6542125,1115352,2805646,5214139,4495450,3754109,1651698,2327808,1885250,3344233,4245828,3643153,1969532,2999141,2504822,2697572,2338372,1803679,3653370,3212357,2207767,159308,7001468,2811185,2753711,4953126,1710209,1683733,817265,1742873,1724185,3183400,4312695,8554080,3128423,3133419,1977516
"1,2,4-Benzenetricarboxylic ",0,0,5062719,30723155,0,0,0,0,858109,0,38331,16758,0,0,0,80446,60261,12388,40810,44443,200983,93155,10642,159097,98077,35487,336219,129726,64141,591385,53210,699997,305627,596524,709476,62248,43441,14904,197606,67476,215371,59111,115037,3820333,2768543,4163644,43470,1998067,1874530,3877351,4322291,4059479,2359971,3511394,1651698,1975852,2251410,4208350,2729180,3222020,1305139,81598,3791505,1492786,4525741,6153240,330010,77811,1558545,2908511,68453,581516,40615,399080,689346,98620,3832438
"1,3,5-Benzenetricarboxylic",2786716,2170658,15319871,41428699,870,0,0,0,125093,7627,4355,2756,275943,4956,0,6702,2587,3055,2103,10447,12192,4205,10539,10921,5513,13499,17787,3940,7331,10313,18087,37374,7746,11367,21168,9298,4938,1998,5101,93729,13914,15868,12774,74744,56666,58312,8153,51151,32127,53000,75050,83482,51688,44121,22963,59697,62340,42101,40380,64608,40574,1321,82513,38847,71285,97521,37133,4142,68102,135401,3243,11542,6123,17597,23524,6627,90217
"1,2,4,5-Benzenetetracarboxy",730445,0,6984161,29871810,0,0,0,0,6250,10327,26897,8622,15676,5597,0,8893,5876,25841,19461,14805,21201,32458,9794,12889,11995,15742,20973,18191,32304,21365,11754,24602,30548,21295,26709,18503,8595,12527,13694,15642,12203,18971,9576,348077,346436,181685,8582,473273,43698,512254,637970,557611,198209,850114,116176,167255,388576,374537,341858,622938,145499,8144,330625,185310,323995,581131,36897,8311,105957,136192,9389,17358,22917,30087,32944,14442,228278
7-Oxodehydroabietic acid,0,0,0,28729,0,0,0,0,52990,87365,120982,113254,151612,170860,0,162841,40444,43848,40176,68763,83598,156948,72911,248953,116252,52992,109393,101897,56883,35925,113949,87390,168180,166267,124472,183701,137827,47996,73898,78840,58835,50017,75004,175522,194273,149235,114982,137844,131050,101295,81184,70222,33438,57587,82400,97704,103377,145787,108774,76038,54308,11555,62662,21014,54626,70867,157450,134735,103739,274609,96832,88797,56326,49742,36768,27317,40677
Benz(de)anthracen-7-one,8636,0,0,16428,5495,0,0,0,2196,18558,19300,0,0,21578,0,34220,19250,0,14823,21650,22650,129265,14669,29145,0,0,32896,16141,14372,0,27960,45117,17984,20557,68143,18985,12866,12418,28011,78128,27638,25986,19782,12934,100817,103642,23234,20918,23522,15773,77748,18459,34346,27793,29559,88740,18106,32907,20137,9534,15304,16346,85900,18170,24219,39675,23784,41502,14370,135978,42686,17127,18736,17608,20736,36225,15764
