[Header Info Signal 1 COLT 3.0]
"SDCK20191016-4.D"," ","C:\Precess Data\2019出口数据\",[GC],0
22 May 2021   5:52    ,SIM-PAHS.M,3
"SDCK20191016-4"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191016-4.D"," ","C:\Precess Data\2019出口数据\"
22 May 2021   5:52    ,SIM-PAHS.M,3
"SDCK20191016-4"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",11036110,19.336,0.00
"Hexadecanoic acid-D31",15719991,27.905,0.00
"Hentricontanioc acid-D31",12839894,38.205,0.00
"Phthalic acid 3,4,56-D4",5772186,18.055,0.00
"Nonanoic acid",16583297,12.071,0.00
"Decanoic acid",3408271,14.747,0.00
"Undecanoic acid",168807,17.585,0.00
"Dodecanoic acid",4216043,19.742,0.00
"Tridecanoic acid",1096754,22.048,0.00
"Tetradecanoic acid",5741360,24.260,0.00
"Pentadecanoic acid ",1735574,26.361,0.00
"Hexadecanoic acid",40177504,28.366,0.00
"Heptadecanoic acid",563474,30.292,0.00
"Octadecanoic acid",11208396,32.119,0.00
"Nonadecanoic acid",104967,33.880,0.00
"Eicosanoic acid",632552,35.574,0.00
"Heneicosanoic acid",119564,37.201,0.00
"Docosanoic acid",617301,38.752,0.00
"Tricosanoic acid",237580,40.248,0.00
"Tetracosanoic acid",460098,41.698,0.00
"Pentacosanoic acid",131025,43.099,0.00
"Hexacosanoic acid",152040,44.449,0.00
"Heptacosanoic acid",48038,45.764,0.00
"Octacosanoic acid",138104,47.029,0.00
"Nonacosanoic acid",4090,48.447,0.00
"Triacontanoic acid",91820,49.968,0.00
"Henriacontanoic acid",10671,52.035,0.00
"Dotriacontanoic acid",104152,54.130,0.00
"9-Hexadecenoic acid",5007637,28.366,0.00
"trans-9-Octadecenoic acid",3593988,31.621,0.00
"cis-9-Octadecenoic acid",491694,31.737,0.00
"9,12-Octadecanedienoic acid",1388006,31.654,0.00
"Hexadecanamide",434750,33.033,0.00
"9-Octdecenamide",598806,36.105,0.00
"Octadecanamide",246893,36.521,0.00
"Butanedioic Acid",1742704,6.947,0.00
"Pentanedioic Acid",351610,9.736,0.00
"Hexanedioic Acid",224074,12.704,0.00
"Heptanedioic Acid",76492,15.331,0.00
"Octanedioic Acid",55832,17.925,0.00
"Nonanedioic Acid",219301,20.325,0.00
"Decanedioic acid",28291,22.621,0.00
"Benzoic acid",14060201,8.601,0.00
"m-Toluic acid",2157274,11.585,0.00
"p-Toluic acid",1695800,11.812,0.00
"1,2-Phthalic acid",6515979,18.088,0.00
"1,4-Phthalic acid",588489,19.207,0.00
"1,3-Phthalic acid",89304,19.515,0.00
"4-Methoxybenzoic acid",316551,16.142,0.00
"3,4-Dimethoxy benzoic acid",84524,21.396,0.00
"4-methyl-1,2-phthalic acid",1353525,20.886,0.00
"1,2,4-Benzenetricarboxylic ",43441,26.759,0.00
"1,3,5-Benzenetricarboxylic",4938,28.175,0.00
"1,2,4,5-Benzenetetracarboxy",8595,32.618,0.00
"7-Oxodehydroabietic acid",137827,39.573,0.00
"Benz(de)anthracen-7-one",12866,38.205,0.00
