[Header Info Signal 1 COLT 3.0]
"SDCK20191017-9.D"," ","C:\Precess Data\2019出口数据\",[GC],0
23 May 2021   2:43    ,SIM-PAHS.M,20
"SDCK20191017-9"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191017-9.D"," ","C:\Precess Data\2019出口数据\"
23 May 2021   2:43    ,SIM-PAHS.M,20
"SDCK20191017-9"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",8338331,19.336,0.00
"Hexadecanoic acid-D31",12213916,27.905,0.00
"Hentricontanioc acid-D31",10088983,38.223,0.00
"Phthalic acid 3,4,56-D4",12839358,18.055,0.00
"Nonanoic acid",1026874,12.071,0.00
"Decanoic acid",520325,14.747,0.00
"Undecanoic acid",64219,17.585,0.00
"Dodecanoic acid",2003124,19.742,0.00
"Tridecanoic acid",616255,22.064,0.00
"Tetradecanoic acid",3459561,24.261,0.00
"Pentadecanoic acid ",1220365,26.361,0.00
"Hexadecanoic acid",53232603,28.382,0.00
"Heptadecanoic acid",541568,30.292,0.00
"Octadecanoic acid",11540042,32.119,0.00
"Nonadecanoic acid",97805,33.880,0.00
"Eicosanoic acid",479646,35.574,0.00
"Heneicosanoic acid",95631,37.202,0.00
"Docosanoic acid",432188,38.789,0.00
"Tricosanoic acid",171141,40.266,0.00
"Tetracosanoic acid",286897,41.749,0.00
"Pentacosanoic acid",79180,43.099,0.00
"Hexacosanoic acid",104819,44.466,0.00
"Heptacosanoic acid",50450,45.764,0.00
"Octacosanoic acid",121816,47.029,0.00
"Nonacosanoic acid",23617,48.430,0.00
"Triacontanoic acid",69981,49.968,0.00
"Henriacontanoic acid",10409,52.051,0.00
"Dotriacontanoic acid",27303,54.098,0.00
"9-Hexadecenoic acid",6613005,28.382,0.00
"trans-9-Octadecenoic acid",4791797,31.638,0.00
"cis-9-Octadecenoic acid",637815,31.771,0.00
"9,12-Octadecanedienoic acid",2095658,31.654,0.00
"Hexadecanamide",446759,33.033,0.00
"9-Octdecenamide",403865,36.106,0.00
"Octadecanamide",276675,36.521,0.00
"Butanedioic Acid",4713501,6.931,0.00
"Pentanedioic Acid",520748,9.753,0.00
"Hexanedioic Acid",321012,12.704,0.00
"Heptanedioic Acid",56332,15.315,0.00
"Octanedioic Acid",46717,17.893,0.00
"Nonanedioic Acid",317031,20.326,0.00
"Decanedioic acid",53042,22.621,0.00
"Benzoic acid",655120,8.617,0.00
"m-Toluic acid",79046,11.585,0.00
"p-Toluic acid",35759,11.812,0.00
"1,2-Phthalic acid",14742787,18.088,0.00
"1,4-Phthalic acid",1104668,19.190,0.00
"1,3-Phthalic acid",352746,19.515,0.00
"4-Methoxybenzoic acid",159369,16.126,0.00
"3,4-Dimethoxy benzoic acid",117135,21.396,0.00
"4-methyl-1,2-phthalic acid",2999141,20.887,0.00
"1,2,4-Benzenetricarboxylic ",3511394,26.743,0.00
"1,3,5-Benzenetricarboxylic",44121,28.128,0.00
"1,2,4,5-Benzenetetracarboxy",850114,32.601,0.00
"7-Oxodehydroabietic acid",57587,39.646,0.00
"Benz(de)anthracen-7-one",27793,38.241,0.00
