[Header Info Signal 1 COLT 3.0]
"SDCK20191016-5.D"," ","C:\Precess Data\2019出口数据\",[GC],0
22 May 2021   7:05    ,SIM-PAHS.M,4
"SDCK20191016-5"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191016-5.D"," ","C:\Precess Data\2019出口数据\"
22 May 2021   7:05    ,SIM-PAHS.M,4
"SDCK20191016-5"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",7360128,19.352,0.00
"Hexadecanoic acid-D31",10758067,27.905,0.00
"Hentricontanioc acid-D31",8389047,38.205,0.00
"Phthalic acid 3,4,56-D4",2404235,18.071,0.00
"Nonanoic acid",5076126,12.088,0.00
"Decanoic acid",1029164,14.763,0.00
"Undecanoic acid",70882,17.698,0.00
"Dodecanoic acid",1494940,19.742,0.00
"Tridecanoic acid",230351,22.064,0.00
"Tetradecanoic acid",2243827,24.260,0.00
"Pentadecanoic acid ",794120,26.361,0.00
"Hexadecanoic acid",28231549,28.366,0.00
"Heptadecanoic acid",304373,30.292,0.00
"Octadecanoic acid",8513370,32.119,0.00
"Nonadecanoic acid",43243,33.880,0.00
"Eicosanoic acid",327644,35.574,0.00
"Heneicosanoic acid",45749,37.201,0.00
"Docosanoic acid",374048,38.770,0.00
"Tricosanoic acid",72608,40.266,0.00
"Tetracosanoic acid",199220,41.732,0.00
"Pentacosanoic acid",29567,43.099,0.00
"Hexacosanoic acid",55107,44.449,0.00
"Heptacosanoic acid",17538,45.747,0.00
"Octacosanoic acid",50139,47.012,0.00
"Nonacosanoic acid",13425,48.379,0.00
"Triacontanoic acid",36908,49.985,0.00
"Henriacontanoic acid",10001,51.950,0.00
"Dotriacontanoic acid",32227,54.130,0.00
"9-Hexadecenoic acid",3567439,28.366,0.00
"trans-9-Octadecenoic acid",3215031,31.621,0.00
"cis-9-Octadecenoic acid",382772,31.770,0.00
"9,12-Octadecanedienoic acid",1075484,31.654,0.00
"Hexadecanamide",224174,33.083,0.00
"9-Octdecenamide",336108,36.122,0.00
"Octadecanamide",156318,36.537,0.00
"Butanedioic Acid",139378,6.947,0.00
"Pentanedioic Acid",19981,9.915,0.00
"Hexanedioic Acid",1841945,12.720,0.00
"Heptanedioic Acid",11501,15.363,0.00
"Octanedioic Acid",15385,17.925,0.00
"Nonanedioic Acid",86850,20.342,0.00
"Decanedioic acid",60200,22.637,0.00
"Benzoic acid",4496692,8.617,0.00
"m-Toluic acid",387476,11.617,0.00
"p-Toluic acid",260501,11.861,0.00
"1,2-Phthalic acid",1727398,18.104,0.00
"1,4-Phthalic acid",1009346,19.239,0.00
"1,3-Phthalic acid",128034,19.498,0.00
"4-Methoxybenzoic acid",18261,16.239,0.00
"3,4-Dimethoxy benzoic acid",30412,21.396,0.00
"4-methyl-1,2-phthalic acid",193489,20.918,0.00
"1,2,4-Benzenetricarboxylic ",14904,26.791,0.00
"1,3,5-Benzenetricarboxylic",1998,28.128,0.00
"1,2,4,5-Benzenetetracarboxy",12527,32.618,0.00
"7-Oxodehydroabietic acid",47996,39.628,0.00
"Benz(de)anthracen-7-one",12418,38.205,0.00
