[Header Info Signal 1 COLT 3.0]
"SDCK20191019-1.D"," ","C:\Precess Data\2019出口数据\",[GC],0
23 May 2021  22:19    ,SIM-PAHS.M,36
"SDCK20191019-1"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191019-1.D"," ","C:\Precess Data\2019出口数据\"
23 May 2021  22:19    ,SIM-PAHS.M,36
"SDCK20191019-1"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",11666202,19.336,0.00
"Hexadecanoic acid-D31",16628789,27.905,0.00
"Hentricontanioc acid-D31",13772713,38.223,0.00
"Phthalic acid 3,4,56-D4",9526248,18.055,0.00
"Nonanoic acid",3000910,12.071,0.00
"Decanoic acid",816487,14.747,0.00
"Undecanoic acid",440927,17.569,0.00
"Dodecanoic acid",3361621,19.742,0.00
"Tridecanoic acid",991205,22.064,0.00
"Tetradecanoic acid",5960590,24.261,0.00
"Pentadecanoic acid ",2135807,26.361,0.00
"Hexadecanoic acid",62478251,28.383,0.00
"Heptadecanoic acid",878353,30.292,0.00
"Octadecanoic acid",18245903,32.119,0.00
"Nonadecanoic acid",161315,33.880,0.00
"Eicosanoic acid",959091,35.574,0.00
"Heneicosanoic acid",181593,37.183,0.00
"Docosanoic acid",974015,38.789,0.00
"Tricosanoic acid",411278,40.266,0.00
"Tetracosanoic acid",976642,41.766,0.00
"Pentacosanoic acid",215715,43.116,0.00
"Hexacosanoic acid",396621,44.466,0.00
"Heptacosanoic acid",87003,45.764,0.00
"Octacosanoic acid",360433,47.029,0.00
"Nonacosanoic acid",60345,48.379,0.00
"Triacontanoic acid",229721,49.968,0.00
"Henriacontanoic acid",1324,51.984,0.00
"Dotriacontanoic acid",114277,54.098,0.00
"9-Hexadecenoic acid",7559695,28.383,0.00
"trans-9-Octadecenoic acid",5119927,31.621,0.00
"cis-9-Octadecenoic acid",530779,31.771,0.00
"9,12-Octadecanedienoic acid",2050339,31.654,0.00
"Hexadecanamide",531384,33.041,0.00
"9-Octdecenamide",390042,36.119,0.00
"Octadecanamide",243788,36.537,0.00
"Butanedioic Acid",109703,6.931,0.00
"Pentanedioic Acid",224232,9.769,0.00
"Hexanedioic Acid",680576,12.704,0.00
"Heptanedioic Acid",100710,15.315,0.00
"Octanedioic Acid",139298,17.893,0.00
"Nonanedioic Acid",734993,20.326,0.00
"Decanedioic acid",95919,22.621,0.00
"Benzoic acid",1648452,8.617,0.00
"m-Toluic acid",144681,11.569,0.00
"p-Toluic acid",64894,11.828,0.00
"1,2-Phthalic acid",8479468,18.088,0.00
"1,4-Phthalic acid",4106320,19.190,0.00
"1,3-Phthalic acid",396403,19.515,0.00
"4-Methoxybenzoic acid",306587,16.126,0.00
"3,4-Dimethoxy benzoic acid",148267,21.396,0.00
"4-methyl-1,2-phthalic acid",1710209,20.887,0.00
"1,2,4-Benzenetricarboxylic ",330010,26.759,0.00
"1,3,5-Benzenetricarboxylic",37133,28.128,0.00
"1,2,4,5-Benzenetetracarboxy",36897,32.601,0.00
"7-Oxodehydroabietic acid",157450,39.701,0.00
"Benz(de)anthracen-7-one",23784,38.223,0.00
