[Header Info Signal 1 COLT 3.0]
"SDCK20191016-12.D"," ","C:\Precess Data\2019出口数据\",[GC],0
22 May 2021  15:41    ,SIM-PAHS.M,11
"SDCK20191016-12"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191016-12.D"," ","C:\Precess Data\2019出口数据\"
22 May 2021  15:41    ,SIM-PAHS.M,11
"SDCK20191016-12"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",10789691,19.336,0.00
"Hexadecanoic acid-D31",15270961,27.905,0.00
"Hentricontanioc acid-D31",12919121,38.205,0.00
"Phthalic acid 3,4,56-D4",10838115,18.055,0.00
"Nonanoic acid",16878709,12.072,0.00
"Decanoic acid",3394742,14.747,0.00
"Undecanoic acid",740215,17.569,0.00
"Dodecanoic acid",3835805,19.742,0.00
"Tridecanoic acid",1031371,22.048,0.00
"Tetradecanoic acid",5594063,24.261,0.00
"Pentadecanoic acid ",1718372,26.361,0.00
"Hexadecanoic acid",137290988,28.383,0.00
"Heptadecanoic acid",1864951,30.292,0.00
"Octadecanoic acid",72970188,32.119,0.00
"Nonadecanoic acid",264410,33.880,0.00
"Eicosanoic acid",3797040,35.574,0.00
"Heneicosanoic acid",10657010,37.311,0.00
"Docosanoic acid",2242170,38.770,0.00
"Tricosanoic acid",316304,40.248,0.00
"Tetracosanoic acid",1010562,41.715,0.00
"Pentacosanoic acid",486931,43.116,0.00
"Hexacosanoic acid",437851,44.466,0.00
"Heptacosanoic acid",84655,45.833,0.00
"Octacosanoic acid",323075,47.029,0.00
"Nonacosanoic acid",60197,48.396,0.00
"Triacontanoic acid",232116,49.968,0.00
"Henriacontanoic acid",4737,51.967,0.00
"Dotriacontanoic acid",107436,54.114,0.00
"9-Hexadecenoic acid",16758902,28.383,0.00
"trans-9-Octadecenoic acid",4862631,31.621,0.00
"cis-9-Octadecenoic acid",780148,31.754,0.00
"9,12-Octadecanedienoic acid",1944736,31.654,0.00
"Hexadecanamide",528096,33.033,0.00
"9-Octdecenamide",545080,36.106,0.00
"Octadecanamide",320206,36.521,0.00
"Butanedioic Acid",4857471,6.931,0.00
"Pentanedioic Acid",659311,9.720,0.00
"Hexanedioic Acid",797985,12.704,0.00
"Heptanedioic Acid",103945,15.315,0.00
"Octanedioic Acid",70722,17.893,0.00
"Nonanedioic Acid",608942,20.326,0.00
"Decanedioic acid",70212,22.637,0.00
"Benzoic acid",9424016,8.601,0.00
"m-Toluic acid",1785454,11.585,0.00
"p-Toluic acid",1610484,11.812,0.00
"1,2-Phthalic acid",24393297,18.088,0.00
"1,4-Phthalic acid",2403907,19.190,0.00
"1,3-Phthalic acid",672666,19.515,0.00
"4-Methoxybenzoic acid",444011,16.109,0.00
"3,4-Dimethoxy benzoic acid",98466,21.396,0.00
"4-methyl-1,2-phthalic acid",3059216,20.887,0.00
"1,2,4-Benzenetricarboxylic ",709476,26.743,0.00
"1,3,5-Benzenetricarboxylic",21168,28.128,0.00
"1,2,4,5-Benzenetetracarboxy",26709,32.584,0.00
"7-Oxodehydroabietic acid",124472,39.591,0.00
"Benz(de)anthracen-7-one",68143,38.333,0.00
