[Header Info Signal 1 COLT 3.0]
"SDCK20191014-7.D"," ","C:\Precess Data\2019出口数据\",[GC],0
21 May 2021   6:30    ,SIM-PAHS.M,27
"SDCK20191014-7"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191014-7.D"," ","C:\Precess Data\2019出口数据\"
21 May 2021   6:30    ,SIM-PAHS.M,27
"SDCK20191014-7"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",11588084,19.353,0.00
"Hexadecanoic acid-D31",17604168,27.905,0.00
"Hentricontanioc acid-D31",12747684,38.223,0.00
"Phthalic acid 3,4,56-D4",2006647,18.072,0.00
"Nonanoic acid",16707800,12.088,0.00
"Decanoic acid",3847634,14.763,0.00
"Undecanoic acid",36805,17.553,0.00
"Dodecanoic acid",4299667,19.742,0.00
"Tridecanoic acid",842999,22.064,0.00
"Tetradecanoic acid",5355678,24.261,0.00
"Pentadecanoic acid ",1740482,26.361,0.00
"Hexadecanoic acid",54704996,28.367,0.00
"Heptadecanoic acid",613457,30.292,0.00
"Octadecanoic acid",14781225,32.119,0.00
"Nonadecanoic acid",110059,33.880,0.00
"Eicosanoic acid",567307,35.574,0.00
"Heneicosanoic acid",130928,37.202,0.00
"Docosanoic acid",432721,38.770,0.00
"Tricosanoic acid",171713,40.266,0.00
"Tetracosanoic acid",387772,41.715,0.00
"Pentacosanoic acid",140942,43.099,0.00
"Hexacosanoic acid",123098,44.466,0.00
"Heptacosanoic acid",51158,45.765,0.00
"Octacosanoic acid",133682,47.029,0.00
"Nonacosanoic acid",8167,48.464,0.00
"Triacontanoic acid",97815,49.968,0.00
"Henriacontanoic acid",52103,52.217,0.00
"Dotriacontanoic acid",69295,54.129,0.00
"9-Hexadecenoic acid",6723736,28.367,0.00
"trans-9-Octadecenoic acid",1705050,31.654,0.00
"cis-9-Octadecenoic acid",672237,31.754,0.00
"9,12-Octadecanedienoic acid",742635,31.538,0.00
"Hexadecanamide",406961,33.108,0.00
"9-Octdecenamide",377623,36.140,0.00
"Octadecanamide",897981,36.730,0.00
"Butanedioic Acid",46334,6.963,0.00
"Pentanedioic Acid",12174,9.801,0.00
"Hexanedioic Acid",63943,12.736,0.00
"Heptanedioic Acid",23380,15.315,0.00
"Octanedioic Acid",6100,17.909,0.00
"Nonanedioic Acid",73617,20.358,0.00
"Decanedioic acid",28931,22.717,0.00
"Benzoic acid",9625204,8.617,0.00
"m-Toluic acid",1664181,11.617,0.00
"p-Toluic acid",1071061,11.861,0.00
"1,2-Phthalic acid",4992781,18.104,0.00
"1,4-Phthalic acid",256253,19.288,0.00
"1,3-Phthalic acid",94662,19.515,0.00
"4-Methoxybenzoic acid",86184,15.996,0.00
"3,4-Dimethoxy benzoic acid",63424,21.284,0.00
"4-methyl-1,2-phthalic acid",1102373,20.918,0.00
"1,2,4-Benzenetricarboxylic ",12388,26.791,0.00
"1,3,5-Benzenetricarboxylic",3055,28.112,0.00
"1,2,4,5-Benzenetetracarboxy",25841,32.535,0.00
"7-Oxodehydroabietic acid",43848,39.599,0.00
"Benz(de)anthracen-7-one",0,0.000,0.00
