[Header Info Signal 1 COLT 3.0]
"SDCK20191018-8.D"," ","C:\Precess Data\2019出口数据\",[GC],0
23 May 2021  16:11    ,SIM-PAHS.M,31
"SDCK20191018-8"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191018-8.D"," ","C:\Precess Data\2019出口数据\"
23 May 2021  16:11    ,SIM-PAHS.M,31
"SDCK20191018-8"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",12078196,19.336,0.00
"Hexadecanoic acid-D31",18033293,27.905,0.00
"Hentricontanioc acid-D31",14554630,38.205,0.00
"Phthalic acid 3,4,56-D4",14921552,18.055,0.00
"Nonanoic acid",1657734,12.071,0.00
"Decanoic acid",556585,14.747,0.00
"Undecanoic acid",91761,17.585,0.00
"Dodecanoic acid",2874550,19.742,0.00
"Tridecanoic acid",924763,22.064,0.00
"Tetradecanoic acid",6522432,24.268,0.00
"Pentadecanoic acid ",2084963,26.361,0.00
"Hexadecanoic acid",60304183,28.382,0.00
"Heptadecanoic acid",687913,30.292,0.00
"Octadecanoic acid",16626381,32.119,0.00
"Nonadecanoic acid",124083,33.880,0.00
"Eicosanoic acid",620342,35.574,0.00
"Heneicosanoic acid",120477,37.183,0.00
"Docosanoic acid",554880,38.752,0.00
"Tricosanoic acid",226888,40.248,0.00
"Tetracosanoic acid",459524,41.715,0.00
"Pentacosanoic acid",133008,43.099,0.00
"Hexacosanoic acid",163726,44.449,0.00
"Heptacosanoic acid",60592,45.764,0.00
"Octacosanoic acid",169962,47.029,0.00
"Nonacosanoic acid",40529,48.362,0.00
"Triacontanoic acid",125889,49.968,0.00
"Henriacontanoic acid",14796,52.035,0.00
"Dotriacontanoic acid",66819,54.114,0.00
"9-Hexadecenoic acid",7521477,28.382,0.00
"trans-9-Octadecenoic acid",5133309,31.621,0.00
"cis-9-Octadecenoic acid",554543,31.770,0.00
"9,12-Octadecanedienoic acid",1925837,31.654,0.00
"Hexadecanamide",433393,33.033,0.00
"9-Octdecenamide",392086,36.097,0.00
"Octadecanamide",203620,36.518,0.00
"Butanedioic Acid",6929354,6.931,0.00
"Pentanedioic Acid",975087,9.720,0.00
"Hexanedioic Acid",677990,12.704,0.00
"Heptanedioic Acid",71062,15.315,0.00
"Octanedioic Acid",53116,17.893,0.00
"Nonanedioic Acid",402473,20.325,0.00
"Decanedioic acid",59828,22.637,0.00
"Benzoic acid",868678,8.601,0.00
"m-Toluic acid",78684,11.585,0.00
"p-Toluic acid",59039,11.828,0.00
"1,2-Phthalic acid",15645097,18.088,0.00
"1,4-Phthalic acid",2355501,19.190,0.00
"1,3-Phthalic acid",571875,19.515,0.00
"4-Methoxybenzoic acid",331243,16.109,0.00
"3,4-Dimethoxy benzoic acid",118219,21.380,0.00
"4-methyl-1,2-phthalic acid",2753711,20.886,0.00
"1,2,4-Benzenetricarboxylic ",4525741,26.743,0.00
"1,3,5-Benzenetricarboxylic",71285,28.128,0.00
"1,2,4,5-Benzenetetracarboxy",323995,32.601,0.00
"7-Oxodehydroabietic acid",54626,39.573,0.00
"Benz(de)anthracen-7-one",24219,38.241,0.00
