[Header Info Signal 1 COLT 3.0]
"SDCK20191018-12.D"," ","C:\Precess Data\2019出口数据\",[GC],0
23 May 2021  21:05    ,SIM-PAHS.M,35
"SDCK20191018-12"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191018-12.D"," ","C:\Precess Data\2019出口数据\"
23 May 2021  21:05    ,SIM-PAHS.M,35
"SDCK20191018-12"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",10311688,19.336,0.00
"Hexadecanoic acid-D31",15529709,27.905,0.00
"Hentricontanioc acid-D31",12874717,38.205,0.00
"Phthalic acid 3,4,56-D4",11166287,18.055,0.00
"Nonanoic acid",2745260,12.071,0.00
"Decanoic acid",601095,14.747,0.00
"Undecanoic acid",588908,17.569,0.00
"Dodecanoic acid",2819854,19.742,0.00
"Tridecanoic acid",1034586,22.048,0.00
"Tetradecanoic acid",4534572,24.260,0.00
"Pentadecanoic acid ",1536022,26.361,0.00
"Hexadecanoic acid",55131222,28.367,0.00
"Heptadecanoic acid",730995,30.292,0.00
"Octadecanoic acid",16494250,32.119,0.00
"Nonadecanoic acid",156939,33.880,0.00
"Eicosanoic acid",959838,35.574,0.00
"Heneicosanoic acid",167846,37.183,0.00
"Docosanoic acid",925340,38.752,0.00
"Tricosanoic acid",344951,40.248,0.00
"Tetracosanoic acid",672435,41.715,0.00
"Pentacosanoic acid",162550,43.099,0.00
"Hexacosanoic acid",227241,44.449,0.00
"Heptacosanoic acid",74612,45.764,0.00
"Octacosanoic acid",179959,47.029,0.00
"Nonacosanoic acid",38824,48.379,0.00
"Triacontanoic acid",164182,49.968,0.00
"Henriacontanoic acid",8165,51.984,0.00
"Dotriacontanoic acid",72654,54.114,0.00
"9-Hexadecenoic acid",6745139,28.367,0.00
"trans-9-Octadecenoic acid",4744584,31.621,0.00
"cis-9-Octadecenoic acid",515290,31.787,0.00
"9,12-Octadecanedienoic acid",2025045,31.654,0.00
"Hexadecanamide",466311,33.034,0.00
"9-Octdecenamide",361678,36.099,0.00
"Octadecanamide",201345,36.516,0.00
"Butanedioic Acid",3342541,6.931,0.00
"Pentanedioic Acid",498044,9.736,0.00
"Hexanedioic Acid",746144,12.704,0.00
"Heptanedioic Acid",63146,15.315,0.00
"Octanedioic Acid",64956,17.893,0.00
"Nonanedioic Acid",541152,20.326,0.00
"Decanedioic acid",68154,22.621,0.00
"Benzoic acid",779654,8.601,0.00
"m-Toluic acid",86101,11.585,0.00
"p-Toluic acid",37018,11.812,0.00
"1,2-Phthalic acid",9968828,18.088,0.00
"1,4-Phthalic acid",3936052,19.190,0.00
"1,3-Phthalic acid",511164,19.515,0.00
"4-Methoxybenzoic acid",288750,16.109,0.00
"3,4-Dimethoxy benzoic acid",124358,21.380,0.00
"4-methyl-1,2-phthalic acid",1803679,20.886,0.00
"1,2,4-Benzenetricarboxylic ",4208350,26.743,0.00
"1,3,5-Benzenetricarboxylic",42101,28.128,0.00
"1,2,4,5-Benzenetetracarboxy",374537,32.601,0.00
"7-Oxodehydroabietic acid",145787,39.573,0.00
"Benz(de)anthracen-7-one",32907,38.223,0.00
