[Header Info Signal 1 COLT 3.0]
"SDCK20191017-11.D"," ","C:\Precess Data\2019出口数据\",[GC],0
23 May 2021   5:10    ,SIM-PAHS.M,22
"SDCK20191017-11"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191017-11.D"," ","C:\Precess Data\2019出口数据\"
23 May 2021   5:10    ,SIM-PAHS.M,22
"SDCK20191017-11"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",11423509,19.336,0.00
"Hexadecanoic acid-D31",16991801,27.914,0.00
"Hentricontanioc acid-D31",14280015,38.205,0.00
"Phthalic acid 3,4,56-D4",16439034,18.055,0.00
"Nonanoic acid",6988234,12.071,0.00
"Decanoic acid",2639070,14.747,0.00
"Undecanoic acid",881282,17.569,0.00
"Dodecanoic acid",3781741,19.742,0.00
"Tridecanoic acid",880656,22.048,0.00
"Tetradecanoic acid",5568583,24.260,0.00
"Pentadecanoic acid ",1916004,26.361,0.00
"Hexadecanoic acid",101743404,28.382,0.00
"Heptadecanoic acid",1518307,30.292,0.00
"Octadecanoic acid",52891192,32.119,0.00
"Nonadecanoic acid",240294,33.880,0.00
"Eicosanoic acid",2704899,35.574,0.00
"Heneicosanoic acid",203777,37.183,0.00
"Docosanoic acid",1691326,38.770,0.00
"Tricosanoic acid",391418,40.248,0.00
"Tetracosanoic acid",1015069,41.715,0.00
"Pentacosanoic acid",392291,43.116,0.00
"Hexacosanoic acid",443285,44.466,0.00
"Heptacosanoic acid",162117,45.764,0.00
"Octacosanoic acid",397855,47.029,0.00
"Nonacosanoic acid",90786,48.396,0.00
"Triacontanoic acid",260004,49.968,0.00
"Henriacontanoic acid",10804,51.967,0.00
"Dotriacontanoic acid",154795,54.114,0.00
"9-Hexadecenoic acid",12393031,28.382,0.00
"trans-9-Octadecenoic acid",4744757,31.638,0.00
"cis-9-Octadecenoic acid",795867,31.771,0.00
"9,12-Octadecanedienoic acid",1926670,31.654,0.00
"Hexadecanamide",869908,33.033,0.00
"9-Octdecenamide",789499,36.089,0.00
"Octadecanamide",570355,36.521,0.00
"Butanedioic Acid",7652106,6.931,0.00
"Pentanedioic Acid",770264,9.720,0.00
"Hexanedioic Acid",587994,12.704,0.00
"Heptanedioic Acid",103730,15.315,0.00
"Octanedioic Acid",88538,17.893,0.00
"Nonanedioic Acid",793009,20.309,0.00
"Decanedioic acid",87070,22.621,0.00
"Benzoic acid",1613452,8.601,0.00
"m-Toluic acid",340566,11.585,0.00
"p-Toluic acid",151465,11.812,0.00
"1,2-Phthalic acid",22495886,18.088,0.00
"1,4-Phthalic acid",2783590,19.190,0.00
"1,3-Phthalic acid",493270,19.498,0.00
"4-Methoxybenzoic acid",416159,16.109,0.00
"3,4-Dimethoxy benzoic acid",120044,21.396,0.00
"4-methyl-1,2-phthalic acid",4495450,20.886,0.00
"1,2,4-Benzenetricarboxylic ",2768543,26.743,0.00
"1,3,5-Benzenetricarboxylic",56666,28.128,0.00
"1,2,4,5-Benzenetetracarboxy",346436,32.601,0.00
"7-Oxodehydroabietic acid",194273,39.591,0.00
"Benz(de)anthracen-7-one",100817,38.296,0.00
