[Header Info Signal 1 COLT 3.0]
"SDCK20191015-4.D"," ","C:\Precess Data\2019出口数据\",[GC],0
21 May 2021  17:35    ,SIM-PAHS.M,36
"SDCK20191015-4"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191015-4.D"," ","C:\Precess Data\2019出口数据\"
21 May 2021  17:35    ,SIM-PAHS.M,36
"SDCK20191015-4"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",12343923,19.353,0.00
"Hexadecanoic acid-D31",17551205,27.905,0.00
"Hentricontanioc acid-D31",14310421,38.223,0.00
"Phthalic acid 3,4,56-D4",11419619,18.055,0.00
"Nonanoic acid",13717442,12.071,0.00
"Decanoic acid",3339976,14.747,0.00
"Undecanoic acid",69097,17.601,0.00
"Dodecanoic acid",3992923,19.742,0.00
"Tridecanoic acid",857727,22.064,0.00
"Tetradecanoic acid",5677172,24.260,0.00
"Pentadecanoic acid ",1854107,26.361,0.00
"Hexadecanoic acid",44003714,28.382,0.00
"Heptadecanoic acid",618132,30.292,0.00
"Octadecanoic acid",12229769,32.119,0.00
"Nonadecanoic acid",151794,33.880,0.00
"Eicosanoic acid",533361,35.574,0.00
"Heneicosanoic acid",106578,37.183,0.00
"Docosanoic acid",609219,38.789,0.00
"Tricosanoic acid",307768,40.266,0.00
"Tetracosanoic acid",590745,41.749,0.00
"Pentacosanoic acid",118727,43.116,0.00
"Hexacosanoic acid",239176,44.466,0.00
"Heptacosanoic acid",28271,45.833,0.00
"Octacosanoic acid",206762,47.029,0.00
"Nonacosanoic acid",54121,48.396,0.00
"Triacontanoic acid",142092,49.968,0.00
"Henriacontanoic acid",14413,52.035,0.00
"Dotriacontanoic acid",78914,54.147,0.00
"9-Hexadecenoic acid",5562043,28.382,0.00
"trans-9-Octadecenoic acid",3770215,31.621,0.00
"cis-9-Octadecenoic acid",496552,31.771,0.00
"9,12-Octadecanedienoic acid",1441130,31.654,0.00
"Hexadecanamide",398103,33.066,0.00
"9-Octdecenamide",409347,36.139,0.00
"Octadecanamide",275448,36.554,0.00
"Butanedioic Acid",3794743,6.947,0.00
"Pentanedioic Acid",322783,9.817,0.00
"Hexanedioic Acid",500243,12.704,0.00
"Heptanedioic Acid",61535,15.363,0.00
"Octanedioic Acid",48862,17.926,0.00
"Nonanedioic Acid",268224,20.341,0.00
"Decanedioic acid",34291,22.637,0.00
"Benzoic acid",16906987,8.601,0.00
"m-Toluic acid",1781973,11.601,0.00
"p-Toluic acid",1417622,11.844,0.00
"1,2-Phthalic acid",12973445,18.088,0.00
"1,4-Phthalic acid",1232640,19.223,0.00
"1,3-Phthalic acid",231598,19.515,0.00
"4-Methoxybenzoic acid",248644,16.142,0.00
"3,4-Dimethoxy benzoic acid",76777,21.412,0.00
"4-methyl-1,2-phthalic acid",2549923,20.886,0.00
"1,2,4-Benzenetricarboxylic ",336219,26.775,0.00
"1,3,5-Benzenetricarboxylic",17787,28.160,0.00
"1,2,4,5-Benzenetetracarboxy",20973,32.618,0.00
"7-Oxodehydroabietic acid",109393,39.664,0.00
"Benz(de)anthracen-7-one",32896,38.223,0.00
