[Header Info Signal 1 COLT 3.0]
"SDCK20191019-5.D"," ","C:\Precess Data\2019出口数据\",[GC],0
24 May 2021   1:59    ,SIM-PAHS.M,39
"SDCK20191019-5"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191019-5.D"," ","C:\Precess Data\2019出口数据\"
24 May 2021   1:59    ,SIM-PAHS.M,39
"SDCK20191019-5"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",13526360,19.349,0.00
"Hexadecanoic acid-D31",18958821,27.905,0.00
"Hentricontanioc acid-D31",16233801,38.205,0.00
"Phthalic acid 3,4,56-D4",9273710,18.055,0.00
"Nonanoic acid",11288574,12.071,0.00
"Decanoic acid",2014613,14.747,0.00
"Undecanoic acid",84120,17.585,0.00
"Dodecanoic acid",2118941,19.742,0.00
"Tridecanoic acid",533718,22.048,0.00
"Tetradecanoic acid",2976643,24.260,0.00
"Pentadecanoic acid ",925473,26.361,0.00
"Hexadecanoic acid",27913654,28.366,0.00
"Heptadecanoic acid",369867,30.292,0.00
"Octadecanoic acid",7936496,32.119,0.00
"Nonadecanoic acid",102520,33.880,0.00
"Eicosanoic acid",381565,35.574,0.00
"Heneicosanoic acid",97232,37.201,0.00
"Docosanoic acid",375803,38.770,0.00
"Tricosanoic acid",142877,40.266,0.00
"Tetracosanoic acid",399157,41.732,0.00
"Pentacosanoic acid",96575,43.099,0.00
"Hexacosanoic acid",127437,44.449,0.00
"Heptacosanoic acid",33230,45.747,0.00
"Octacosanoic acid",85396,47.029,0.00
"Nonacosanoic acid",34824,48.362,0.00
"Triacontanoic acid",67902,49.968,0.00
"Henriacontanoic acid",8276,52.051,0.00
"Dotriacontanoic acid",52630,54.082,0.00
"9-Hexadecenoic acid",3647939,28.366,0.00
"trans-9-Octadecenoic acid",3499531,31.621,0.00
"cis-9-Octadecenoic acid",374700,31.770,0.00
"9,12-Octadecanedienoic acid",1176164,31.654,0.00
"Hexadecanamide",216278,33.041,0.00
"9-Octdecenamide",332358,36.106,0.00
"Octadecanamide",134537,36.521,0.00
"Butanedioic Acid",593884,6.947,0.00
"Pentanedioic Acid",346786,9.769,0.00
"Hexanedioic Acid",381699,12.639,0.00
"Heptanedioic Acid",37261,15.347,0.00
"Octanedioic Acid",79110,17.893,0.00
"Nonanedioic Acid",306529,20.325,0.00
"Decanedioic acid",37210,22.637,0.00
"Benzoic acid",15857259,8.585,0.00
"m-Toluic acid",1474284,11.585,0.00
"p-Toluic acid",1139696,11.812,0.00
"1,2-Phthalic acid",15090720,18.088,0.00
"1,4-Phthalic acid",1281531,19.190,0.00
"1,3-Phthalic acid",146575,19.515,0.00
"4-Methoxybenzoic acid",281525,16.125,0.00
"3,4-Dimethoxy benzoic acid",65025,21.412,0.00
"4-methyl-1,2-phthalic acid",4312695,20.886,0.00
"1,2,4-Benzenetricarboxylic ",40615,26.759,0.00
"1,3,5-Benzenetricarboxylic",6123,28.128,0.00
"1,2,4,5-Benzenetetracarboxy",22917,32.584,0.00
"7-Oxodehydroabietic acid",56326,39.609,0.00
"Benz(de)anthracen-7-one",18736,38.223,0.00
