[Header Info Signal 1 COLT 3.0]
"SDCK20191016-6.D"," ","C:\Precess Data\2019出口数据\",[GC],0
22 May 2021   8:19    ,SIM-PAHS.M,5
"SDCK20191016-6"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191016-6.D"," ","C:\Precess Data\2019出口数据\"
22 May 2021   8:19    ,SIM-PAHS.M,5
"SDCK20191016-6"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",13409651,19.336,0.00
"Hexadecanoic acid-D31",18524520,27.905,0.00
"Hentricontanioc acid-D31",15390674,38.205,0.00
"Phthalic acid 3,4,56-D4",12245217,18.055,0.00
"Nonanoic acid",16604464,12.071,0.00
"Decanoic acid",3582303,14.747,0.00
"Undecanoic acid",154104,17.585,0.00
"Dodecanoic acid",4318620,19.742,0.00
"Tridecanoic acid",1179522,22.048,0.00
"Tetradecanoic acid",6520268,24.261,0.00
"Pentadecanoic acid ",2216369,26.361,0.00
"Hexadecanoic acid",53874799,28.367,0.00
"Heptadecanoic acid",781469,30.292,0.00
"Octadecanoic acid",16122711,32.119,0.00
"Nonadecanoic acid",129337,33.880,0.00
"Eicosanoic acid",655490,35.574,0.00
"Heneicosanoic acid",98065,37.183,0.00
"Docosanoic acid",598331,38.770,0.00
"Tricosanoic acid",288744,40.248,0.00
"Tetracosanoic acid",537615,41.715,0.00
"Pentacosanoic acid",112343,43.099,0.00
"Hexacosanoic acid",163931,44.449,0.00
"Heptacosanoic acid",30410,45.747,0.00
"Octacosanoic acid",139458,47.029,0.00
"Nonacosanoic acid",44462,48.396,0.00
"Triacontanoic acid",102716,49.968,0.00
"Henriacontanoic acid",11299,51.933,0.00
"Dotriacontanoic acid",96803,54.082,0.00
"9-Hexadecenoic acid",6684055,28.367,0.00
"trans-9-Octadecenoic acid",4601719,31.621,0.00
"cis-9-Octadecenoic acid",885831,31.771,0.00
"9,12-Octadecanedienoic acid",1753247,31.654,0.00
"Hexadecanamide",506847,33.048,0.00
"9-Octdecenamide",713280,36.110,0.00
"Octadecanamide",312902,36.537,0.00
"Butanedioic Acid",4067739,6.931,0.00
"Pentanedioic Acid",587323,9.736,0.00
"Hexanedioic Acid",2009918,12.704,0.00
"Heptanedioic Acid",113025,15.331,0.00
"Octanedioic Acid",106428,17.909,0.00
"Nonanedioic Acid",536471,20.326,0.00
"Decanedioic acid",48544,22.637,0.00
"Benzoic acid",5425569,8.601,0.00
"m-Toluic acid",1692016,11.585,0.00
"p-Toluic acid",1310530,11.812,0.00
"1,2-Phthalic acid",25550294,18.088,0.00
"1,4-Phthalic acid",1998964,19.207,0.00
"1,3-Phthalic acid",482597,19.515,0.00
"4-Methoxybenzoic acid",498105,16.126,0.00
"3,4-Dimethoxy benzoic acid",114652,21.412,0.00
"4-methyl-1,2-phthalic acid",6497333,20.887,0.00
"1,2,4-Benzenetricarboxylic ",197606,26.759,0.00
"1,3,5-Benzenetricarboxylic",5101,28.128,0.00
"1,2,4,5-Benzenetetracarboxy",13694,32.618,0.00
"7-Oxodehydroabietic acid",73898,39.591,0.00
"Benz(de)anthracen-7-one",28011,38.260,0.00
