[Header Info Signal 1 COLT 3.0]
"SDCK20191016-9.D"," ","C:\Precess Data\2019出口数据\",[GC],0
22 May 2021  12:00    ,SIM-PAHS.M,8
"SDCK20191016-9"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191016-9.D"," ","C:\Precess Data\2019出口数据\"
22 May 2021  12:00    ,SIM-PAHS.M,8
"SDCK20191016-9"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",9811687,19.336,0.00
"Hexadecanoic acid-D31",13636559,27.905,0.00
"Hentricontanioc acid-D31",10371067,38.223,0.00
"Phthalic acid 3,4,56-D4",3432809,18.055,0.00
"Nonanoic acid",11255427,12.082,0.00
"Decanoic acid",2218995,14.747,0.00
"Undecanoic acid",68028,17.585,0.00
"Dodecanoic acid",2584086,19.742,0.00
"Tridecanoic acid",747806,22.048,0.00
"Tetradecanoic acid",3585356,24.260,0.00
"Pentadecanoic acid ",1139838,26.361,0.00
"Hexadecanoic acid",37643143,28.367,0.00
"Heptadecanoic acid",479651,30.292,0.00
"Octadecanoic acid",10472760,32.119,0.00
"Nonadecanoic acid",164227,33.880,0.00
"Eicosanoic acid",574280,35.574,0.00
"Heneicosanoic acid",68675,37.183,0.00
"Docosanoic acid",384944,38.789,0.00
"Tricosanoic acid",110142,40.266,0.00
"Tetracosanoic acid",297102,41.749,0.00
"Pentacosanoic acid",114836,43.116,0.00
"Hexacosanoic acid",94613,44.466,0.00
"Heptacosanoic acid",24917,45.764,0.00
"Octacosanoic acid",80054,47.029,0.00
"Nonacosanoic acid",37350,48.396,0.00
"Triacontanoic acid",70245,49.951,0.00
"Henriacontanoic acid",2397,51.950,0.00
"Dotriacontanoic acid",53282,54.082,0.00
"9-Hexadecenoic acid",4631618,28.367,0.00
"trans-9-Octadecenoic acid",4332310,31.621,0.00
"cis-9-Octadecenoic acid",490333,31.787,0.00
"9,12-Octadecanedienoic acid",1580274,31.654,0.00
"Hexadecanamide",568603,33.033,0.00
"9-Octdecenamide",793649,36.122,0.00
"Octadecanamide",332453,36.537,0.00
"Butanedioic Acid",1454781,6.931,0.00
"Pentanedioic Acid",90166,10.052,0.00
"Hexanedioic Acid",683661,12.704,0.00
"Heptanedioic Acid",32705,15.331,0.00
"Octanedioic Acid",39422,17.958,0.00
"Nonanedioic Acid",91758,20.326,0.00
"Decanedioic acid",38688,22.621,0.00
"Benzoic acid",4868885,8.601,0.00
"m-Toluic acid",959186,11.585,0.00
"p-Toluic acid",726816,11.828,0.00
"1,2-Phthalic acid",6596493,18.088,0.00
"1,4-Phthalic acid",247591,19.223,0.00
"1,3-Phthalic acid",64912,19.499,0.00
"4-Methoxybenzoic acid",217291,16.126,0.00
"3,4-Dimethoxy benzoic acid",79110,21.380,0.00
"4-methyl-1,2-phthalic acid",1115352,20.887,0.00
"1,2,4-Benzenetricarboxylic ",59111,26.759,0.00
"1,3,5-Benzenetricarboxylic",15868,28.112,0.00
"1,2,4,5-Benzenetetracarboxy",18971,32.667,0.00
"7-Oxodehydroabietic acid",50017,39.683,0.00
"Benz(de)anthracen-7-one",25986,38.223,0.00
