[Header Info Signal 1 COLT 3.0]
"SDCK20191016-11.D"," ","C:\Precess Data\2019出口数据\",[GC],0
22 May 2021  14:27    ,SIM-PAHS.M,10
"SDCK20191016-11"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191016-11.D"," ","C:\Precess Data\2019出口数据\"
22 May 2021  14:27    ,SIM-PAHS.M,10
"SDCK20191016-11"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",11672531,19.348,0.00
"Hexadecanoic acid-D31",17483306,27.912,0.00
"Hentricontanioc acid-D31",14567682,38.214,0.00
"Phthalic acid 3,4,56-D4",9124859,18.059,0.00
"Nonanoic acid",20889801,12.079,0.00
"Decanoic acid",4448128,14.747,0.00
"Undecanoic acid",279362,17.584,0.00
"Dodecanoic acid",4868313,19.742,0.00
"Tridecanoic acid",1301942,22.048,0.00
"Tetradecanoic acid",6673489,24.261,0.00
"Pentadecanoic acid ",2071126,26.361,0.00
"Hexadecanoic acid",71190895,28.367,0.00
"Heptadecanoic acid",954394,30.292,0.00
"Octadecanoic acid",23387363,32.119,0.00
"Nonadecanoic acid",212722,33.880,0.00
"Eicosanoic acid",1214433,35.574,0.00
"Heneicosanoic acid",202320,37.183,0.00
"Docosanoic acid",1058184,38.752,0.00
"Tricosanoic acid",405383,40.248,0.00
"Tetracosanoic acid",936900,41.715,0.00
"Pentacosanoic acid",183500,43.099,0.00
"Hexacosanoic acid",339091,44.449,0.00
"Heptacosanoic acid",90993,45.765,0.00
"Octacosanoic acid",311578,47.029,0.00
"Nonacosanoic acid",77106,48.379,0.00
"Triacontanoic acid",220134,49.968,0.00
"Henriacontanoic acid",8668,51.984,0.00
"Dotriacontanoic acid",133626,54.114,0.00
"9-Hexadecenoic acid",8836608,28.367,0.00
"trans-9-Octadecenoic acid",5652656,31.638,0.00
"cis-9-Octadecenoic acid",649720,31.771,0.00
"9,12-Octadecanedienoic acid",2471984,31.654,0.00
"Hexadecanamide",877785,33.033,0.00
"9-Octdecenamide",748182,36.089,0.00
"Octadecanamide",426162,36.504,0.00
"Butanedioic Acid",2832512,6.931,0.00
"Pentanedioic Acid",272535,9.753,0.00
"Hexanedioic Acid",1136073,12.704,0.00
"Heptanedioic Acid",124997,15.315,0.00
"Octanedioic Acid",126296,17.893,0.00
"Nonanedioic Acid",885960,20.309,0.00
"Decanedioic acid",92870,22.621,0.00
"Benzoic acid",6958154,8.601,0.00
"m-Toluic acid",1859082,11.585,0.00
"p-Toluic acid",1674118,11.812,0.00
"1,2-Phthalic acid",26431406,18.088,0.00
"1,4-Phthalic acid",3882290,19.190,0.00
"1,3-Phthalic acid",645859,19.515,0.00
"4-Methoxybenzoic acid",650004,16.109,0.00
"3,4-Dimethoxy benzoic acid",118708,21.396,0.00
"4-methyl-1,2-phthalic acid",5018890,20.887,0.00
"1,2,4-Benzenetricarboxylic ",596524,26.743,0.00
"1,3,5-Benzenetricarboxylic",11367,28.176,0.00
"1,2,4,5-Benzenetetracarboxy",21295,32.601,0.00
"7-Oxodehydroabietic acid",166267,39.573,0.00
"Benz(de)anthracen-7-one",20557,38.205,0.00
