[Header Info Signal 1 COLT 3.0]
"SDCK20191018-5.D"," ","C:\Precess Data\2019出口数据\",[GC],0
23 May 2021  12:30    ,SIM-PAHS.M,28
"SDCK20191018-5"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191018-5.D"," ","C:\Precess Data\2019出口数据\"
23 May 2021  12:30    ,SIM-PAHS.M,28
"SDCK20191018-5"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",472730,19.352,0.00
"Hexadecanoic acid-D31",1199427,27.905,0.00
"Hentricontanioc acid-D31",4163937,38.223,0.00
"Phthalic acid 3,4,56-D4",573980,18.088,0.00
"Nonanoic acid",386314,12.120,0.00
"Decanoic acid",68092,14.796,0.00
"Undecanoic acid",370,17.569,0.00
"Dodecanoic acid",281919,19.725,0.00
"Tridecanoic acid",14433,22.080,0.00
"Tetradecanoic acid",262192,24.276,0.00
"Pentadecanoic acid ",106998,26.377,0.00
"Hexadecanoic acid",7968283,28.366,0.00
"Heptadecanoic acid",73441,30.292,0.00
"Octadecanoic acid",2594553,32.119,0.00
"Nonadecanoic acid",23405,33.897,0.00
"Eicosanoic acid",118306,35.591,0.00
"Heneicosanoic acid",26108,37.201,0.00
"Docosanoic acid",121907,38.770,0.00
"Tricosanoic acid",73777,40.266,0.00
"Tetracosanoic acid",157088,41.732,0.00
"Pentacosanoic acid",52055,43.099,0.00
"Hexacosanoic acid",67824,44.449,0.00
"Heptacosanoic acid",6345,45.850,0.00
"Octacosanoic acid",79905,47.029,0.00
"Nonacosanoic acid",17002,48.396,0.00
"Triacontanoic acid",68129,49.968,0.00
"Henriacontanoic acid",8437,51.950,0.00
"Dotriacontanoic acid",52662,54.130,0.00
"9-Hexadecenoic acid",1130892,28.366,0.00
"trans-9-Octadecenoic acid",2551960,31.621,0.00
"cis-9-Octadecenoic acid",314064,31.754,0.00
"9,12-Octadecanedienoic acid",658585,31.621,0.00
"Hexadecanamide",45178,33.099,0.00
"9-Octdecenamide",84550,36.122,0.00
"Octadecanamide",47485,36.537,0.00
"Butanedioic Acid",289711,6.947,0.00
"Pentanedioic Acid",2688,9.817,0.00
"Hexanedioic Acid",14124,12.736,0.00
"Heptanedioic Acid",2000,15.331,0.00
"Octanedioic Acid",1441,17.893,0.00
"Nonanedioic Acid",8409,20.358,0.00
"Decanedioic acid",22981,22.637,0.00
"Benzoic acid",82185,8.650,0.00
"m-Toluic acid",28463,11.731,0.00
"p-Toluic acid",13391,11.731,0.00
"1,2-Phthalic acid",809761,18.120,0.00
"1,4-Phthalic acid",13030,19.288,0.00
"1,3-Phthalic acid",38756,19.515,0.00
"4-Methoxybenzoic acid",3050,16.093,0.00
"3,4-Dimethoxy benzoic acid",27612,21.428,0.00
"4-methyl-1,2-phthalic acid",159308,20.934,0.00
"1,2,4-Benzenetricarboxylic ",81598,26.839,0.00
"1,3,5-Benzenetricarboxylic",1321,28.128,0.00
"1,2,4,5-Benzenetetracarboxy",8144,32.601,0.00
"7-Oxodehydroabietic acid",11555,39.609,0.00
"Benz(de)anthracen-7-one",16346,38.205,0.00
