[Header Info Signal 1 COLT 3.0]
"SDCK20191014-2.D"," ","C:\Precess Data\2019出口数据\",[GC],0
21 May 2021  00:22    ,SIM-PAHS.M,22
"SDCK20191014-2"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191014-2.D"," ","C:\Precess Data\2019出口数据\"
21 May 2021  00:22    ,SIM-PAHS.M,22
"SDCK20191014-2"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",17006746,19.353,0.00
"Hexadecanoic acid-D31",23750161,27.905,0.00
"Hentricontanioc acid-D31",18317876,38.223,0.00
"Phthalic acid 3,4,56-D4",1311192,18.072,0.00
"Nonanoic acid",17867431,12.088,0.00
"Decanoic acid",4898622,14.747,0.00
"Undecanoic acid",47414,17.553,0.00
"Dodecanoic acid",5649745,19.742,0.00
"Tridecanoic acid",985912,22.064,0.00
"Tetradecanoic acid",7551678,24.275,0.00
"Pentadecanoic acid ",2658081,26.377,0.00
"Hexadecanoic acid",75289772,28.383,0.00
"Heptadecanoic acid",932985,30.292,0.00
"Octadecanoic acid",29251385,32.119,0.00
"Nonadecanoic acid",277317,33.897,0.00
"Eicosanoic acid",1306590,35.574,0.00
"Heneicosanoic acid",196176,37.202,0.00
"Docosanoic acid",1103436,38.807,0.00
"Tricosanoic acid",352761,40.285,0.00
"Tetracosanoic acid",958043,41.783,0.00
"Pentacosanoic acid",344522,43.133,0.00
"Hexacosanoic acid",388144,44.466,0.00
"Heptacosanoic acid",103294,45.765,0.00
"Octacosanoic acid",289417,47.029,0.00
"Nonacosanoic acid",61063,48.379,0.00
"Triacontanoic acid",174515,49.968,0.00
"Henriacontanoic acid",28174,51.950,0.00
"Dotriacontanoic acid",122201,54.131,0.00
"9-Hexadecenoic acid",9103525,28.382,0.00
"trans-9-Octadecenoic acid",2100409,31.654,0.00
"cis-9-Octadecenoic acid",700706,31.771,0.00
"9,12-Octadecanedienoic acid",1144827,31.538,0.00
"Hexadecanamide",784236,33.093,0.00
"9-Octdecenamide",926646,36.162,0.00
"Octadecanamide",9231412,36.770,0.00
"Butanedioic Acid",0,0.000,0.00
"Pentanedioic Acid",0,0.000,0.00
"Hexanedioic Acid",550825,12.736,0.00
"Heptanedioic Acid",39848,15.315,0.00
"Octanedioic Acid",22123,17.942,0.00
"Nonanedioic Acid",352102,20.358,0.00
"Decanedioic acid",0,0.000,0.00
"Benzoic acid",21035671,8.601,0.00
"m-Toluic acid",2278706,11.601,0.00
"p-Toluic acid",1974383,11.845,0.00
"1,2-Phthalic acid",3907103,18.120,0.00
"1,4-Phthalic acid",671944,19.288,0.00
"1,3-Phthalic acid",135855,19.515,0.00
"4-Methoxybenzoic acid",302213,16.190,0.00
"3,4-Dimethoxy benzoic acid",133044,21.300,0.00
"4-methyl-1,2-phthalic acid",542777,20.934,0.00
"1,2,4-Benzenetricarboxylic ",0,0.000,0.00
"1,3,5-Benzenetricarboxylic",275943,27.985,0.00
"1,2,4,5-Benzenetetracarboxy",15676,32.634,0.00
"7-Oxodehydroabietic acid",151612,39.756,0.00
"Benz(de)anthracen-7-one",0,0.000,0.00
