[Header Info Signal 1 COLT 3.0]
"SDCK20191016-7.D"," ","C:\Precess Data\2019出口数据\",[GC],0
22 May 2021   9:33    ,SIM-PAHS.M,6
"SDCK20191016-7"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191016-7.D"," ","C:\Precess Data\2019出口数据\"
22 May 2021   9:33    ,SIM-PAHS.M,6
"SDCK20191016-7"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",14182080,19.336,0.00
"Hexadecanoic acid-D31",19868453,27.905,0.00
"Hentricontanioc acid-D31",16737538,38.223,0.00
"Phthalic acid 3,4,56-D4",11789321,18.055,0.00
"Nonanoic acid",21259765,12.071,0.00
"Decanoic acid",4470941,14.747,0.00
"Undecanoic acid",143444,17.585,0.00
"Dodecanoic acid",4873249,19.742,0.00
"Tridecanoic acid",1338218,22.048,0.00
"Tetradecanoic acid",7716042,24.260,0.00
"Pentadecanoic acid ",2590088,26.361,0.00
"Hexadecanoic acid",76324261,28.382,0.00
"Heptadecanoic acid",1013326,30.292,0.00
"Octadecanoic acid",26077887,32.119,0.00
"Nonadecanoic acid",231946,33.880,0.00
"Eicosanoic acid",1033307,35.574,0.00
"Heneicosanoic acid",130779,37.201,0.00
"Docosanoic acid",1009733,38.788,0.00
"Tricosanoic acid",244658,40.266,0.00
"Tetracosanoic acid",708390,41.766,0.00
"Pentacosanoic acid",220572,43.116,0.00
"Hexacosanoic acid",245839,44.449,0.00
"Heptacosanoic acid",77310,45.764,0.00
"Octacosanoic acid",315668,47.029,0.00
"Nonacosanoic acid",41889,48.379,0.00
"Triacontanoic acid",180659,49.968,0.00
"Henriacontanoic acid",7228,51.967,0.00
"Dotriacontanoic acid",83258,54.130,0.00
"9-Hexadecenoic acid",8826351,28.382,0.00
"trans-9-Octadecenoic acid",5158411,31.621,0.00
"cis-9-Octadecenoic acid",711847,31.770,0.00
"9,12-Octadecanedienoic acid",2079667,31.654,0.00
"Hexadecanamide",854351,33.043,0.00
"9-Octdecenamide",1173964,36.120,0.00
"Octadecanamide",5065519,36.751,0.00
"Butanedioic Acid",3162452,6.941,0.00
"Pentanedioic Acid",449961,9.752,0.00
"Hexanedioic Acid",2255056,12.704,0.00
"Heptanedioic Acid",103362,15.331,0.00
"Octanedioic Acid",110453,17.909,0.00
"Nonanedioic Acid",536652,20.325,0.00
"Decanedioic acid",86646,22.637,0.00
"Benzoic acid",7127007,8.601,0.00
"m-Toluic acid",2210575,11.585,0.00
"p-Toluic acid",1944398,11.812,0.00
"1,2-Phthalic acid",21375755,18.088,0.00
"1,4-Phthalic acid",1460712,19.207,0.00
"1,3-Phthalic acid",394972,19.515,0.00
"4-Methoxybenzoic acid",641302,16.109,0.00
"3,4-Dimethoxy benzoic acid",93193,21.412,0.00
"4-methyl-1,2-phthalic acid",5492743,20.886,0.00
"1,2,4-Benzenetricarboxylic ",67476,26.759,0.00
"1,3,5-Benzenetricarboxylic",93729,28.112,0.00
"1,2,4,5-Benzenetetracarboxy",15642,32.601,0.00
"7-Oxodehydroabietic acid",78840,39.682,0.00
"Benz(de)anthracen-7-one",78128,38.223,0.00
