[Header Info Signal 1 COLT 3.0]
"SDCK20191017-4.D"," ","C:\Precess Data\2019出口数据\",[GC],0
22 May 2021  20:35    ,SIM-PAHS.M,15
"SDCK20191017-4"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191017-4.D"," ","C:\Precess Data\2019出口数据\"
22 May 2021  20:35    ,SIM-PAHS.M,15
"SDCK20191017-4"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",12195385,19.351,0.00
"Hexadecanoic acid-D31",17539185,27.916,0.00
"Hentricontanioc acid-D31",14429571,38.224,0.00
"Phthalic acid 3,4,56-D4",11094140,18.055,0.00
"Nonanoic acid",1807547,12.071,0.00
"Decanoic acid",802556,14.747,0.00
"Undecanoic acid",118966,17.585,0.00
"Dodecanoic acid",3026124,19.742,0.00
"Tridecanoic acid",708980,22.064,0.00
"Tetradecanoic acid",4958972,24.269,0.00
"Pentadecanoic acid ",1721988,26.361,0.00
"Hexadecanoic acid",49562343,28.382,0.00
"Heptadecanoic acid",679828,30.292,0.00
"Octadecanoic acid",16153339,32.119,0.00
"Nonadecanoic acid",199037,33.880,0.00
"Eicosanoic acid",650406,35.574,0.00
"Heneicosanoic acid",108173,37.201,0.00
"Docosanoic acid",567878,38.789,0.00
"Tricosanoic acid",251695,40.266,0.00
"Tetracosanoic acid",632755,41.749,0.00
"Pentacosanoic acid",158327,43.116,0.00
"Hexacosanoic acid",248141,44.466,0.00
"Heptacosanoic acid",44289,45.764,0.00
"Octacosanoic acid",240578,47.029,0.00
"Nonacosanoic acid",49566,48.379,0.00
"Triacontanoic acid",144884,49.968,0.00
"Henriacontanoic acid",18321,51.967,0.00
"Dotriacontanoic acid",89835,54.114,0.00
"9-Hexadecenoic acid",6159538,28.382,0.00
"trans-9-Octadecenoic acid",3982080,31.621,0.00
"cis-9-Octadecenoic acid",568310,31.754,0.00
"9,12-Octadecanedienoic acid",1642919,31.654,0.00
"Hexadecanamide",1011547,33.033,0.00
"9-Octdecenamide",1334906,36.115,0.00
"Octadecanamide",806846,36.541,0.00
"Butanedioic Acid",5722090,6.931,0.00
"Pentanedioic Acid",678267,9.736,0.00
"Hexanedioic Acid",480284,12.704,0.00
"Heptanedioic Acid",79328,15.331,0.00
"Octanedioic Acid",51291,17.909,0.00
"Nonanedioic Acid",367840,20.325,0.00
"Decanedioic acid",45295,22.637,0.00
"Benzoic acid",1128493,8.601,0.00
"m-Toluic acid",112688,11.601,0.00
"p-Toluic acid",67963,11.812,0.00
"1,2-Phthalic acid",11249464,18.088,0.00
"1,4-Phthalic acid",2606961,19.190,0.00
"1,3-Phthalic acid",462838,19.515,0.00
"4-Methoxybenzoic acid",288710,16.109,0.00
"3,4-Dimethoxy benzoic acid",64596,21.396,0.00
"4-methyl-1,2-phthalic acid",1885250,20.886,0.00
"1,2,4-Benzenetricarboxylic ",1874530,26.743,0.00
"1,3,5-Benzenetricarboxylic",32127,28.128,0.00
"1,2,4,5-Benzenetetracarboxy",43698,32.601,0.00
"7-Oxodehydroabietic acid",131050,39.664,0.00
"Benz(de)anthracen-7-one",23522,38.223,0.00
