[Header Info Signal 1 COLT 3.0]
"SDCK20191017-10.D"," ","C:\Precess Data\2019出口数据\",[GC],0
23 May 2021   3:56    ,SIM-PAHS.M,21
"SDCK20191017-10"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191017-10.D"," ","C:\Precess Data\2019出口数据\"
23 May 2021   3:56    ,SIM-PAHS.M,21
"SDCK20191017-10"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",11144839,19.336,0.00
"Hexadecanoic acid-D31",16802062,27.905,0.00
"Hentricontanioc acid-D31",13857836,38.223,0.00
"Phthalic acid 3,4,56-D4",16441776,18.055,0.00
"Nonanoic acid",4545143,12.071,0.00
"Decanoic acid",1895629,14.747,0.00
"Undecanoic acid",378785,17.569,0.00
"Dodecanoic acid",4314739,19.742,0.00
"Tridecanoic acid",1111273,22.048,0.00
"Tetradecanoic acid",6625890,24.260,0.00
"Pentadecanoic acid ",2199629,26.361,0.00
"Hexadecanoic acid",80188656,28.382,0.00
"Heptadecanoic acid",1105102,30.292,0.00
"Octadecanoic acid",29550685,32.119,0.00
"Nonadecanoic acid",190219,33.880,0.00
"Eicosanoic acid",1314404,35.574,0.00
"Heneicosanoic acid",207854,37.183,0.00
"Docosanoic acid",1121242,38.770,0.00
"Tricosanoic acid",362291,40.266,0.00
"Tetracosanoic acid",951371,41.749,0.00
"Pentacosanoic acid",182931,43.116,0.00
"Hexacosanoic acid",348056,44.449,0.00
"Heptacosanoic acid",96076,45.782,0.00
"Octacosanoic acid",413304,47.029,0.00
"Nonacosanoic acid",65340,48.396,0.00
"Triacontanoic acid",254946,49.968,0.00
"Henriacontanoic acid",8434,51.950,0.00
"Dotriacontanoic acid",150584,54.098,0.00
"9-Hexadecenoic acid",9762650,28.382,0.00
"trans-9-Octadecenoic acid",5950968,31.638,0.00
"cis-9-Octadecenoic acid",673281,31.771,0.00
"9,12-Octadecanedienoic acid",2583329,31.654,0.00
"Hexadecanamide",959471,33.033,0.00
"9-Octdecenamide",894310,36.110,0.00
"Octadecanamide",582076,36.521,0.00
"Butanedioic Acid",8755165,6.915,0.00
"Pentanedioic Acid",879018,9.720,0.00
"Hexanedioic Acid",868831,12.704,0.00
"Heptanedioic Acid",99743,15.315,0.00
"Octanedioic Acid",101500,17.893,0.00
"Nonanedioic Acid",796457,20.309,0.00
"Decanedioic acid",109944,22.621,0.00
"Benzoic acid",1497776,8.601,0.00
"m-Toluic acid",213478,11.569,0.00
"p-Toluic acid",66896,11.812,0.00
"1,2-Phthalic acid",27675564,18.088,0.00
"1,4-Phthalic acid",2647061,19.190,0.00
"1,3-Phthalic acid",550587,19.499,0.00
"4-Methoxybenzoic acid",398264,16.093,0.00
"3,4-Dimethoxy benzoic acid",126218,21.380,0.00
"4-methyl-1,2-phthalic acid",5214139,20.886,0.00
"1,2,4-Benzenetricarboxylic ",3820333,26.743,0.00
"1,3,5-Benzenetricarboxylic",74744,28.128,0.00
"1,2,4,5-Benzenetetracarboxy",348077,32.601,0.00
"7-Oxodehydroabietic acid",175522,39.610,0.00
"Benz(de)anthracen-7-one",12934,38.241,0.00
