[Header Info Signal 1 COLT 3.0]
"SDCK20191015-9.D"," ","C:\Precess Data\2019出口数据\",[GC],0
21 May 2021  23:44    ,SIM-PAHS.M,41
"SDCK20191015-9"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191015-9.D"," ","C:\Precess Data\2019出口数据\"
21 May 2021  23:44    ,SIM-PAHS.M,41
"SDCK20191015-9"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",12474191,19.353,0.00
"Hexadecanoic acid-D31",18512574,27.905,0.00
"Hentricontanioc acid-D31",14153407,38.221,0.00
"Phthalic acid 3,4,56-D4",11340718,18.055,0.00
"Nonanoic acid",19627935,12.071,0.00
"Decanoic acid",4427415,14.757,0.00
"Undecanoic acid",131886,17.601,0.00
"Dodecanoic acid",4862296,19.742,0.00
"Tridecanoic acid",1278105,22.064,0.00
"Tetradecanoic acid",8148768,24.260,0.00
"Pentadecanoic acid ",2816418,26.361,0.00
"Hexadecanoic acid",86299697,28.382,0.00
"Heptadecanoic acid",1198182,30.292,0.00
"Octadecanoic acid",27782030,32.119,0.00
"Nonadecanoic acid",186664,33.880,0.00
"Eicosanoic acid",1186855,35.574,0.00
"Heneicosanoic acid",189933,37.183,0.00
"Docosanoic acid",866383,38.752,0.00
"Tricosanoic acid",288056,40.248,0.00
"Tetracosanoic acid",760796,41.715,0.00
"Pentacosanoic acid",157582,43.099,0.00
"Hexacosanoic acid",271420,44.449,0.00
"Heptacosanoic acid",63722,45.764,0.00
"Octacosanoic acid",238553,47.029,0.00
"Nonacosanoic acid",76639,48.379,0.00
"Triacontanoic acid",164402,49.951,0.00
"Henriacontanoic acid",41531,51.847,0.00
"Dotriacontanoic acid",112992,54.098,0.00
"9-Hexadecenoic acid",10719706,28.382,0.00
"trans-9-Octadecenoic acid",6560203,31.654,0.00
"cis-9-Octadecenoic acid",688426,31.771,0.00
"9,12-Octadecanedienoic acid",3028619,31.661,0.00
"Hexadecanamide",618086,33.056,0.00
"9-Octdecenamide",779133,36.111,0.00
"Octadecanamide",355314,36.545,0.00
"Butanedioic Acid",8270113,6.931,0.00
"Pentanedioic Acid",580504,9.769,0.00
"Hexanedioic Acid",929605,12.704,0.00
"Heptanedioic Acid",121538,15.363,0.00
"Octanedioic Acid",145788,17.909,0.00
"Nonanedioic Acid",917484,20.326,0.00
"Decanedioic acid",94207,22.637,0.00
"Benzoic acid",10372849,8.601,0.00
"m-Toluic acid",2051966,11.585,0.00
"p-Toluic acid",1734174,11.828,0.00
"1,2-Phthalic acid",28053214,18.088,0.00
"1,4-Phthalic acid",3382067,19.190,0.00
"1,3-Phthalic acid",414802,19.531,0.00
"4-Methoxybenzoic acid",677062,16.125,0.00
"3,4-Dimethoxy benzoic acid",116202,21.396,0.00
"4-methyl-1,2-phthalic acid",5643375,20.886,0.00
"1,2,4-Benzenetricarboxylic ",699997,26.759,0.00
"1,3,5-Benzenetricarboxylic",37374,28.144,0.00
"1,2,4,5-Benzenetetracarboxy",24602,32.634,0.00
"7-Oxodehydroabietic acid",87390,39.591,0.00
"Benz(de)anthracen-7-one",45117,38.223,0.00
