[Header Info Signal 1 COLT 3.0]
"SDCK20191017-5.D"," ","C:\Precess Data\2019出口数据\",[GC],0
22 May 2021  21:49    ,SIM-PAHS.M,16
"SDCK20191017-5"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191017-5.D"," ","C:\Precess Data\2019出口数据\"
22 May 2021  21:49    ,SIM-PAHS.M,16
"SDCK20191017-5"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",12207779,19.336,0.00
"Hexadecanoic acid-D31",17677853,27.905,0.00
"Hentricontanioc acid-D31",14702153,38.205,0.00
"Phthalic acid 3,4,56-D4",17230321,18.055,0.00
"Nonanoic acid",1434222,12.071,0.00
"Decanoic acid",587266,14.747,0.00
"Undecanoic acid",80530,17.585,0.00
"Dodecanoic acid",2782871,19.742,0.00
"Tridecanoic acid",771539,22.064,0.00
"Tetradecanoic acid",4497444,24.260,0.00
"Pentadecanoic acid ",1462239,26.361,0.00
"Hexadecanoic acid",43552096,28.382,0.00
"Heptadecanoic acid",608522,30.292,0.00
"Octadecanoic acid",12496575,32.119,0.00
"Nonadecanoic acid",118598,33.880,0.00
"Eicosanoic acid",555274,35.574,0.00
"Heneicosanoic acid",154143,37.202,0.00
"Docosanoic acid",705946,38.752,0.00
"Tricosanoic acid",274785,40.248,0.00
"Tetracosanoic acid",578991,41.715,0.00
"Pentacosanoic acid",164154,43.099,0.00
"Hexacosanoic acid",227197,44.466,0.00
"Heptacosanoic acid",65237,45.764,0.00
"Octacosanoic acid",206447,47.029,0.00
"Nonacosanoic acid",68884,48.379,0.00
"Triacontanoic acid",159415,49.968,0.00
"Henriacontanoic acid",1557,51.984,0.00
"Dotriacontanoic acid",111523,54.114,0.00
"9-Hexadecenoic acid",5583600,28.382,0.00
"trans-9-Octadecenoic acid",3888935,31.621,0.00
"cis-9-Octadecenoic acid",366930,31.754,0.00
"9,12-Octadecanedienoic acid",1637567,31.654,0.00
"Hexadecanamide",673160,33.033,0.00
"9-Octdecenamide",743370,36.089,0.00
"Octadecanamide",540385,36.521,0.00
"Butanedioic Acid",5308632,6.931,0.00
"Pentanedioic Acid",697218,9.736,0.00
"Hexanedioic Acid",471049,12.704,0.00
"Heptanedioic Acid",87681,15.331,0.00
"Octanedioic Acid",52674,17.893,0.00
"Nonanedioic Acid",387237,20.326,0.00
"Decanedioic acid",64080,22.637,0.00
"Benzoic acid",778025,8.601,0.00
"m-Toluic acid",74746,11.585,0.00
"p-Toluic acid",30447,11.828,0.00
"1,2-Phthalic acid",15946188,18.088,0.00
"1,4-Phthalic acid",2751699,19.190,0.00
"1,3-Phthalic acid",569112,19.515,0.00
"4-Methoxybenzoic acid",298436,16.109,0.00
"3,4-Dimethoxy benzoic acid",120700,21.396,0.00
"4-methyl-1,2-phthalic acid",3344233,20.887,0.00
"1,2,4-Benzenetricarboxylic ",3877351,26.743,0.00
"1,3,5-Benzenetricarboxylic",53000,28.128,0.00
"1,2,4,5-Benzenetetracarboxy",512254,32.601,0.00
"7-Oxodehydroabietic acid",101295,39.591,0.00
"Benz(de)anthracen-7-one",15773,38.205,0.00
