[Header Info Signal 1 COLT 3.0]
"SDCK20191017-7.D"," ","C:\Precess Data\2019出口数据\",[GC],0
23 May 2021  00:16    ,SIM-PAHS.M,18
"SDCK20191017-7"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191017-7.D"," ","C:\Precess Data\2019出口数据\"
23 May 2021  00:16    ,SIM-PAHS.M,18
"SDCK20191017-7"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",11817145,19.336,0.00
"Hexadecanoic acid-D31",17232966,27.905,0.00
"Hentricontanioc acid-D31",14841730,38.223,0.00
"Phthalic acid 3,4,56-D4",17468513,18.055,0.00
"Nonanoic acid",1888101,12.071,0.00
"Decanoic acid",579660,14.747,0.00
"Undecanoic acid",113953,17.569,0.00
"Dodecanoic acid",2818637,19.742,0.00
"Tridecanoic acid",837348,22.064,0.00
"Tetradecanoic acid",5488769,24.260,0.00
"Pentadecanoic acid ",1910422,26.361,0.00
"Hexadecanoic acid",55243964,28.382,0.00
"Heptadecanoic acid",686170,30.292,0.00
"Octadecanoic acid",15053470,32.119,0.00
"Nonadecanoic acid",114281,33.880,0.00
"Eicosanoic acid",520374,35.574,0.00
"Heneicosanoic acid",83372,37.201,0.00
"Docosanoic acid",679348,38.789,0.00
"Tricosanoic acid",242153,40.266,0.00
"Tetracosanoic acid",653727,41.749,0.00
"Pentacosanoic acid",148307,43.116,0.00
"Hexacosanoic acid",269995,44.466,0.00
"Heptacosanoic acid",81273,45.764,0.00
"Octacosanoic acid",268429,47.029,0.00
"Nonacosanoic acid",52219,48.379,0.00
"Triacontanoic acid",164646,49.985,0.00
"Henriacontanoic acid",4463,51.933,0.00
"Dotriacontanoic acid",86256,54.130,0.00
"9-Hexadecenoic acid",6782754,28.382,0.00
"trans-9-Octadecenoic acid",4054002,31.621,0.00
"cis-9-Octadecenoic acid",424269,31.754,0.00
"9,12-Octadecanedienoic acid",1584205,31.654,0.00
"Hexadecanamide",713727,33.039,0.00
"9-Octdecenamide",828775,36.117,0.00
"Octadecanamide",513553,36.545,0.00
"Butanedioic Acid",6354211,6.931,0.00
"Pentanedioic Acid",917834,9.720,0.00
"Hexanedioic Acid",467137,12.704,0.00
"Heptanedioic Acid",82124,15.315,0.00
"Octanedioic Acid",61201,17.893,0.00
"Nonanedioic Acid",389067,20.326,0.00
"Decanedioic acid",94287,22.621,0.00
"Benzoic acid",850865,8.601,0.00
"m-Toluic acid",60158,11.585,0.00
"p-Toluic acid",52735,11.812,0.00
"1,2-Phthalic acid",21992685,18.088,0.00
"1,4-Phthalic acid",2062892,19.190,0.00
"1,3-Phthalic acid",568751,19.498,0.00
"4-Methoxybenzoic acid",282193,16.109,0.00
"3,4-Dimethoxy benzoic acid",144559,21.380,0.00
"4-methyl-1,2-phthalic acid",3643153,20.886,0.00
"1,2,4-Benzenetricarboxylic ",4059479,26.743,0.00
"1,3,5-Benzenetricarboxylic",83482,28.128,0.00
"1,2,4,5-Benzenetetracarboxy",557611,32.601,0.00
"7-Oxodehydroabietic acid",70222,39.664,0.00
"Benz(de)anthracen-7-one",18459,38.241,0.00
