[Header Info Signal 1 COLT 3.0]
"SDCK20191015-5.D"," ","C:\Precess Data\2019出口数据\",[GC],0
21 May 2021  18:49    ,SIM-PAHS.M,37
"SDCK20191015-5"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191015-5.D"," ","C:\Precess Data\2019出口数据\"
21 May 2021  18:49    ,SIM-PAHS.M,37
"SDCK20191015-5"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",10018058,19.353,0.00
"Hexadecanoic acid-D31",14803726,27.905,0.00
"Hentricontanioc acid-D31",12065314,38.223,0.00
"Phthalic acid 3,4,56-D4",10229758,18.055,0.00
"Nonanoic acid",14335349,12.072,0.00
"Decanoic acid",3438122,14.747,0.00
"Undecanoic acid",74906,17.601,0.00
"Dodecanoic acid",4134975,19.742,0.00
"Tridecanoic acid",962682,22.064,0.00
"Tetradecanoic acid",6138511,24.261,0.00
"Pentadecanoic acid ",2163883,26.361,0.00
"Hexadecanoic acid",57879914,28.367,0.00
"Heptadecanoic acid",836009,30.292,0.00
"Octadecanoic acid",18153101,32.119,0.00
"Nonadecanoic acid",132356,33.880,0.00
"Eicosanoic acid",735394,35.574,0.00
"Heneicosanoic acid",128971,37.202,0.00
"Docosanoic acid",781403,38.789,0.00
"Tricosanoic acid",260650,40.266,0.00
"Tetracosanoic acid",699437,41.732,0.00
"Pentacosanoic acid",213793,43.116,0.00
"Hexacosanoic acid",201186,44.466,0.00
"Heptacosanoic acid",47814,45.747,0.00
"Octacosanoic acid",197713,47.029,0.00
"Nonacosanoic acid",46219,48.362,0.00
"Triacontanoic acid",186841,49.968,0.00
"Henriacontanoic acid",13523,51.967,0.00
"Dotriacontanoic acid",86768,54.098,0.00
"9-Hexadecenoic acid",7328918,28.367,0.00
"trans-9-Octadecenoic acid",4421766,31.621,0.00
"cis-9-Octadecenoic acid",587850,31.754,0.00
"9,12-Octadecanedienoic acid",1561937,31.654,0.00
"Hexadecanamide",511128,33.050,0.00
"9-Octdecenamide",609647,36.122,0.00
"Octadecanamide",277948,36.538,0.00
"Butanedioic Acid",1925076,6.931,0.00
"Pentanedioic Acid",218125,9.817,0.00
"Hexanedioic Acid",465445,12.720,0.00
"Heptanedioic Acid",66281,15.363,0.00
"Octanedioic Acid",59520,17.909,0.00
"Nonanedioic Acid",338229,20.326,0.00
"Decanedioic acid",60196,22.637,0.00
"Benzoic acid",12947914,8.601,0.00
"m-Toluic acid",1628584,11.585,0.00
"p-Toluic acid",1254377,11.828,0.00
"1,2-Phthalic acid",15393126,18.088,0.00
"1,4-Phthalic acid",1337087,19.223,0.00
"1,3-Phthalic acid",207577,19.515,0.00
"4-Methoxybenzoic acid",284142,16.142,0.00
"3,4-Dimethoxy benzoic acid",88039,21.412,0.00
"4-methyl-1,2-phthalic acid",3381557,20.887,0.00
"1,2,4-Benzenetricarboxylic ",129726,26.775,0.00
"1,3,5-Benzenetricarboxylic",3940,28.144,0.00
"1,2,4,5-Benzenetetracarboxy",18191,32.634,0.00
"7-Oxodehydroabietic acid",101897,39.610,0.00
"Benz(de)anthracen-7-one",16141,38.241,0.00
