[Header Info Signal 1 COLT 3.0]
"SDCK20191014-11.D"," ","C:\Precess Data\2019出口数据\",[GC],0
21 May 2021  11:27    ,SIM-PAHS.M,31
"SDCK20191014-11"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191014-11.D"," ","C:\Precess Data\2019出口数据\"
21 May 2021  11:27    ,SIM-PAHS.M,31
"SDCK20191014-11"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",11856979,19.352,0.00
"Hexadecanoic acid-D31",17374666,27.905,0.00
"Hentricontanioc acid-D31",15021089,38.223,0.00
"Phthalic acid 3,4,56-D4",142167,18.088,0.00
"Nonanoic acid",12420109,12.071,0.00
"Decanoic acid",2798499,14.747,0.00
"Undecanoic acid",2179512,17.585,0.00
"Dodecanoic acid",3614560,19.742,0.00
"Tridecanoic acid",643591,22.064,0.00
"Tetradecanoic acid",4906014,24.260,0.00
"Pentadecanoic acid ",1519159,26.361,0.00
"Hexadecanoic acid",249450317,28.398,0.00
"Heptadecanoic acid",3299106,30.292,0.00
"Octadecanoic acid",152359553,32.136,0.00
"Nonadecanoic acid",391345,33.880,0.00
"Eicosanoic acid",8478217,35.574,0.00
"Heneicosanoic acid",28504925,37.329,0.00
"Docosanoic acid",3991512,38.770,0.00
"Tricosanoic acid",437029,40.266,0.00
"Tetracosanoic acid",889908,41.715,0.00
"Pentacosanoic acid",1042239,43.133,0.00
"Hexacosanoic acid",260873,44.466,0.00
"Heptacosanoic acid",335688,45.850,0.00
"Octacosanoic acid",228096,47.046,0.00
"Nonacosanoic acid",117733,48.379,0.00
"Triacontanoic acid",193562,49.968,0.00
"Henriacontanoic acid",11899,51.984,0.00
"Dotriacontanoic acid",99525,54.130,0.00
"9-Hexadecenoic acid",30208598,28.398,0.00
"trans-9-Octadecenoic acid",1913302,31.654,0.00
"cis-9-Octadecenoic acid",595710,31.754,0.00
"9,12-Octadecanedienoic acid",1216793,31.654,0.00
"Hexadecanamide",1438521,33.049,0.00
"9-Octdecenamide",1846014,36.122,0.00
"Octadecanamide",925967,36.552,0.00
"Butanedioic Acid",64499,6.947,0.00
"Pentanedioic Acid",55009,9.882,0.00
"Hexanedioic Acid",340780,12.720,0.00
"Heptanedioic Acid",41434,15.347,0.00
"Octanedioic Acid",46525,17.925,0.00
"Nonanedioic Acid",495656,20.325,0.00
"Decanedioic acid",51522,22.653,0.00
"Benzoic acid",22595781,8.601,0.00
"m-Toluic acid",966974,11.601,0.00
"p-Toluic acid",756290,11.844,0.00
"1,2-Phthalic acid",2132781,18.104,0.00
"1,4-Phthalic acid",1265479,19.239,0.00
"1,3-Phthalic acid",65143,19.515,0.00
"4-Methoxybenzoic acid",199955,16.174,0.00
"3,4-Dimethoxy benzoic acid",44079,21.459,0.00
"4-methyl-1,2-phthalic acid",139508,20.918,0.00
"1,2,4-Benzenetricarboxylic ",38331,26.807,0.00
"1,3,5-Benzenetricarboxylic",4355,28.144,0.00
"1,2,4,5-Benzenetetracarboxy",26897,32.617,0.00
"7-Oxodehydroabietic acid",120982,39.628,0.00
"Benz(de)anthracen-7-one",19300,38.223,0.00
