[Header Info Signal 1 COLT 3.0]
"SDCK20191018-6.D"," ","C:\Precess Data\2019出口数据\",[GC],0
23 May 2021  13:44    ,SIM-PAHS.M,29
"SDCK20191018-6"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191018-6.D"," ","C:\Precess Data\2019出口数据\"
23 May 2021  13:44    ,SIM-PAHS.M,29
"SDCK20191018-6"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",14034146,19.336,0.00
"Hexadecanoic acid-D31",20355132,27.905,0.00
"Hentricontanioc acid-D31",16805485,38.205,0.00
"Phthalic acid 3,4,56-D4",17847225,18.055,0.00
"Nonanoic acid",5561182,12.071,0.00
"Decanoic acid",2141706,14.747,0.00
"Undecanoic acid",134314,17.569,0.00
"Dodecanoic acid",4090383,19.742,0.00
"Tridecanoic acid",885615,22.064,0.00
"Tetradecanoic acid",6116422,24.260,0.00
"Pentadecanoic acid ",1879981,26.361,0.00
"Hexadecanoic acid",57569405,28.366,0.00
"Heptadecanoic acid",793600,30.292,0.00
"Octadecanoic acid",17704540,32.119,0.00
"Nonadecanoic acid",131471,33.880,0.00
"Eicosanoic acid",781554,35.574,0.00
"Heneicosanoic acid",162079,37.183,0.00
"Docosanoic acid",757444,38.770,0.00
"Tricosanoic acid",292816,40.248,0.00
"Tetracosanoic acid",643621,41.715,0.00
"Pentacosanoic acid",139754,43.099,0.00
"Hexacosanoic acid",267998,44.449,0.00
"Heptacosanoic acid",68761,45.764,0.00
"Octacosanoic acid",216841,47.029,0.00
"Nonacosanoic acid",39867,48.379,0.00
"Triacontanoic acid",174933,49.985,0.00
"Henriacontanoic acid",11582,51.967,0.00
"Dotriacontanoic acid",70215,54.179,0.00
"9-Hexadecenoic acid",7099725,28.366,0.00
"trans-9-Octadecenoic acid",5070265,31.621,0.00
"cis-9-Octadecenoic acid",524399,31.770,0.00
"9,12-Octadecanedienoic acid",1838458,31.654,0.00
"Hexadecanamide",408180,33.036,0.00
"9-Octdecenamide",406653,36.103,0.00
"Octadecanamide",219300,36.522,0.00
"Butanedioic Acid",11929993,6.931,0.00
"Pentanedioic Acid",1207506,9.720,0.00
"Hexanedioic Acid",524077,12.704,0.00
"Heptanedioic Acid",91136,15.315,0.00
"Octanedioic Acid",88372,17.893,0.00
"Nonanedioic Acid",542325,20.325,0.00
"Decanedioic acid",60314,22.637,0.00
"Benzoic acid",1694846,8.601,0.00
"m-Toluic acid",352989,11.585,0.00
"p-Toluic acid",268263,11.812,0.00
"1,2-Phthalic acid",34964244,18.088,0.00
"1,4-Phthalic acid",3102505,19.190,0.00
"1,3-Phthalic acid",677911,19.515,0.00
"4-Methoxybenzoic acid",491121,16.109,0.00
"3,4-Dimethoxy benzoic acid",143660,21.380,0.00
"4-methyl-1,2-phthalic acid",7001468,20.886,0.00
"1,2,4-Benzenetricarboxylic ",3791505,26.743,0.00
"1,3,5-Benzenetricarboxylic",82513,28.128,0.00
"1,2,4,5-Benzenetetracarboxy",330625,32.601,0.00
"7-Oxodehydroabietic acid",62662,39.591,0.00
"Benz(de)anthracen-7-one",85900,38.332,0.00
