[Header Info Signal 1 COLT 3.0]
"SDCK20191014-3.D"," ","C:\Precess Data\2019出口数据\",[GC],0
21 May 2021   1:36    ,SIM-PAHS.M,23
"SDCK20191014-3"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191014-3.D"," ","C:\Precess Data\2019出口数据\"
21 May 2021   1:36    ,SIM-PAHS.M,23
"SDCK20191014-3"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",16276749,19.352,0.00
"Hexadecanoic acid-D31",23080280,27.905,0.00
"Hentricontanioc acid-D31",16900499,38.223,0.00
"Phthalic acid 3,4,56-D4",2210816,18.071,0.00
"Nonanoic acid",15476070,12.088,0.00
"Decanoic acid",3828862,14.763,0.00
"Undecanoic acid",25231,17.552,0.00
"Dodecanoic acid",4594860,19.754,0.00
"Tridecanoic acid",837497,22.064,0.00
"Tetradecanoic acid",6509013,24.260,0.00
"Pentadecanoic acid ",2232480,26.377,0.00
"Hexadecanoic acid",64899845,28.366,0.00
"Heptadecanoic acid",855772,30.292,0.00
"Octadecanoic acid",27401206,32.119,0.00
"Nonadecanoic acid",135843,33.880,0.00
"Eicosanoic acid",830043,35.574,0.00
"Heneicosanoic acid",138732,37.201,0.00
"Docosanoic acid",796765,38.770,0.00
"Tricosanoic acid",301021,40.266,0.00
"Tetracosanoic acid",661647,41.715,0.00
"Pentacosanoic acid",170702,43.099,0.00
"Hexacosanoic acid",230949,44.466,0.00
"Heptacosanoic acid",57662,45.764,0.00
"Octacosanoic acid",195063,47.029,0.00
"Nonacosanoic acid",51767,48.396,0.00
"Triacontanoic acid",141272,49.968,0.00
"Henriacontanoic acid",1042,51.950,0.00
"Dotriacontanoic acid",75574,54.147,0.00
"9-Hexadecenoic acid",7911918,28.366,0.00
"trans-9-Octadecenoic acid",1939872,31.654,0.00
"cis-9-Octadecenoic acid",489905,31.754,0.00
"9,12-Octadecanedienoic acid",2194442,31.654,0.00
"Hexadecanamide",746956,33.083,0.00
"9-Octdecenamide",517009,36.139,0.00
"Octadecanamide",299664,36.573,0.00
"Butanedioic Acid",29304,7.028,0.00
"Pentanedioic Acid",0,0.000,0.00
"Hexanedioic Acid",299344,12.671,0.00
"Heptanedioic Acid",43432,15.315,0.00
"Octanedioic Acid",0,0.000,0.00
"Nonanedioic Acid",98979,20.374,0.00
"Decanedioic acid",0,0.000,0.00
"Benzoic acid",6659087,8.633,0.00
"m-Toluic acid",952772,11.634,0.00
"p-Toluic acid",927611,11.877,0.00
"1,2-Phthalic acid",5221000,18.120,0.00
"1,4-Phthalic acid",280236,19.288,0.00
"1,3-Phthalic acid",129585,19.515,0.00
"4-Methoxybenzoic acid",118097,16.028,0.00
"3,4-Dimethoxy benzoic acid",172065,21.316,0.00
"4-methyl-1,2-phthalic acid",796595,20.934,0.00
"1,2,4-Benzenetricarboxylic ",0,0.000,0.00
"1,3,5-Benzenetricarboxylic",4956,28.144,0.00
"1,2,4,5-Benzenetetracarboxy",5597,32.634,0.00
"7-Oxodehydroabietic acid",170860,39.591,0.00
"Benz(de)anthracen-7-one",21578,38.205,0.00
