[Header Info Signal 1 COLT 3.0]
"SDCK20191015-11.D"," ","C:\Precess Data\2019出口数据\",[GC],0
22 May 2021   2:11    ,SIM-PAHS.M,43
"SDCK20191015-11"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191015-11.D"," ","C:\Precess Data\2019出口数据\"
22 May 2021   2:11    ,SIM-PAHS.M,43
"SDCK20191015-11"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",8170840,19.353,0.00
"Hexadecanoic acid-D31",11088445,27.905,0.00
"Hentricontanioc acid-D31",8796106,38.222,0.00
"Phthalic acid 3,4,56-D4",2423559,18.071,0.00
"Nonanoic acid",8141222,12.088,0.00
"Decanoic acid",1520391,14.747,0.00
"Undecanoic acid",305200,17.617,0.00
"Dodecanoic acid",1750045,19.742,0.00
"Tridecanoic acid",339174,22.064,0.00
"Tetradecanoic acid",2586889,24.260,0.00
"Pentadecanoic acid ",829949,26.361,0.00
"Hexadecanoic acid",45536517,28.382,0.00
"Heptadecanoic acid",597432,30.292,0.00
"Octadecanoic acid",21679903,32.119,0.00
"Nonadecanoic acid",101342,33.880,0.00
"Eicosanoic acid",1012609,35.574,0.00
"Heneicosanoic acid",79200,37.183,0.00
"Docosanoic acid",592268,38.770,0.00
"Tricosanoic acid",107412,40.266,0.00
"Tetracosanoic acid",275920,41.715,0.00
"Pentacosanoic acid",103593,43.116,0.00
"Hexacosanoic acid",105808,44.449,0.00
"Heptacosanoic acid",14737,45.850,0.00
"Octacosanoic acid",40368,47.097,0.00
"Nonacosanoic acid",9681,48.430,0.00
"Triacontanoic acid",52763,49.968,0.00
"Henriacontanoic acid",10291,51.967,0.00
"Dotriacontanoic acid",31790,54.114,0.00
"9-Hexadecenoic acid",5695638,28.382,0.00
"trans-9-Octadecenoic acid",3435604,31.621,0.00
"cis-9-Octadecenoic acid",488768,31.771,0.00
"9,12-Octadecanedienoic acid",1106735,31.654,0.00
"Hexadecanamide",340530,33.066,0.00
"9-Octdecenamide",459364,36.122,0.00
"Octadecanamide",245724,36.537,0.00
"Butanedioic Acid",592363,6.931,0.00
"Pentanedioic Acid",7876,9.834,0.00
"Hexanedioic Acid",65208,12.704,0.00
"Heptanedioic Acid",19181,15.363,0.00
"Octanedioic Acid",18802,17.942,0.00
"Nonanedioic Acid",93592,20.342,0.00
"Decanedioic acid",33233,22.653,0.00
"Benzoic acid",5079043,8.617,0.00
"m-Toluic acid",432510,11.650,0.00
"p-Toluic acid",343012,11.877,0.00
"1,2-Phthalic acid",2018119,18.104,0.00
"1,4-Phthalic acid",116753,19.288,0.00
"1,3-Phthalic acid",106244,19.515,0.00
"4-Methoxybenzoic acid",57656,15.996,0.00
"3,4-Dimethoxy benzoic acid",6852,21.364,0.00
"4-methyl-1,2-phthalic acid",264571,20.902,0.00
"1,2,4-Benzenetricarboxylic ",10642,26.775,0.00
"1,3,5-Benzenetricarboxylic",10539,28.160,0.00
"1,2,4,5-Benzenetetracarboxy",9794,32.584,0.00
"7-Oxodehydroabietic acid",72911,39.591,0.00
"Benz(de)anthracen-7-one",14669,38.223,0.00
