[Header Info Signal 1 COLT 3.0]
"SDCK20191015-2.D"," ","C:\Precess Data\2019出口数据\",[GC],0
21 May 2021  15:08    ,SIM-PAHS.M,34
"SDCK20191015-2"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191015-2.D"," ","C:\Precess Data\2019出口数据\"
21 May 2021  15:08    ,SIM-PAHS.M,34
"SDCK20191015-2"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",11844595,19.352,0.00
"Hexadecanoic acid-D31",17094785,27.905,0.00
"Hentricontanioc acid-D31",13495978,38.205,0.00
"Phthalic acid 3,4,56-D4",6337815,18.055,0.00
"Nonanoic acid",14662728,12.088,0.00
"Decanoic acid",3576821,14.747,0.00
"Undecanoic acid",181438,17.617,0.00
"Dodecanoic acid",4525516,19.747,0.00
"Tridecanoic acid",1010666,22.068,0.00
"Tetradecanoic acid",5985004,24.260,0.00
"Pentadecanoic acid ",1961133,26.361,0.00
"Hexadecanoic acid",49305552,28.366,0.00
"Heptadecanoic acid",660520,30.292,0.00
"Octadecanoic acid",14448164,32.119,0.00
"Nonadecanoic acid",116422,33.896,0.00
"Eicosanoic acid",592238,35.574,0.00
"Heneicosanoic acid",105517,37.201,0.00
"Docosanoic acid",418813,38.770,0.00
"Tricosanoic acid",179201,40.266,0.00
"Tetracosanoic acid",485058,41.715,0.00
"Pentacosanoic acid",104181,43.099,0.00
"Hexacosanoic acid",178602,44.449,0.00
"Heptacosanoic acid",54875,45.781,0.00
"Octacosanoic acid",136058,47.029,0.00
"Nonacosanoic acid",45609,48.396,0.00
"Triacontanoic acid",121069,49.985,0.00
"Henriacontanoic acid",7705,52.067,0.00
"Dotriacontanoic acid",51731,54.114,0.00
"9-Hexadecenoic acid",6189614,28.366,0.00
"trans-9-Octadecenoic acid",4160785,31.621,0.00
"cis-9-Octadecenoic acid",786090,31.770,0.00
"9,12-Octadecanedienoic acid",1532083,31.654,0.00
"Hexadecanamide",341182,33.079,0.00
"9-Octdecenamide",449216,36.127,0.00
"Octadecanamide",575372,36.730,0.00
"Butanedioic Acid",749527,6.947,0.00
"Pentanedioic Acid",116532,9.850,0.00
"Hexanedioic Acid",382117,12.720,0.00
"Heptanedioic Acid",70044,15.315,0.00
"Octanedioic Acid",33886,17.925,0.00
"Nonanedioic Acid",206834,20.342,0.00
"Decanedioic acid",53296,22.653,0.00
"Benzoic acid",18987845,8.601,0.00
"m-Toluic acid",2089646,11.601,0.00
"p-Toluic acid",1626199,11.828,0.00
"1,2-Phthalic acid",7263645,18.104,0.00
"1,4-Phthalic acid",713563,19.255,0.00
"1,3-Phthalic acid",164925,19.515,0.00
"4-Methoxybenzoic acid",281767,16.142,0.00
"3,4-Dimethoxy benzoic acid",56855,21.459,0.00
"4-methyl-1,2-phthalic acid",1659426,20.902,0.00
"1,2,4-Benzenetricarboxylic ",98077,26.775,0.00
"1,3,5-Benzenetricarboxylic",5513,28.128,0.00
"1,2,4,5-Benzenetetracarboxy",11995,32.601,0.00
"7-Oxodehydroabietic acid",116252,39.591,0.00
"Benz(de)anthracen-7-one",0,0.000,0.00
