[Header Info Signal 1 COLT 3.0]
"SDCK20191014-6.D"," ","C:\Precess Data\2019出口数据\",[GC],0
21 May 2021   5:17    ,SIM-PAHS.M,26
"SDCK20191014-6"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191014-6.D"," ","C:\Precess Data\2019出口数据\"
21 May 2021   5:17    ,SIM-PAHS.M,26
"SDCK20191014-6"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",13120311,19.353,0.00
"Hexadecanoic acid-D31",18836220,27.905,0.00
"Hentricontanioc acid-D31",13665182,38.205,0.00
"Phthalic acid 3,4,56-D4",2932283,18.072,0.00
"Nonanoic acid",18429251,12.088,0.00
"Decanoic acid",4500850,14.747,0.00
"Undecanoic acid",37874,17.536,0.00
"Dodecanoic acid",4466304,19.742,0.00
"Tridecanoic acid",864566,22.064,0.00
"Tetradecanoic acid",5712136,24.272,0.00
"Pentadecanoic acid ",1754946,26.361,0.00
"Hexadecanoic acid",45232955,28.367,0.00
"Heptadecanoic acid",507565,30.292,0.00
"Octadecanoic acid",12460260,32.119,0.00
"Nonadecanoic acid",74889,33.880,0.00
"Eicosanoic acid",358182,35.574,0.00
"Heneicosanoic acid",90506,37.183,0.00
"Docosanoic acid",478180,38.752,0.00
"Tricosanoic acid",161386,40.248,0.00
"Tetracosanoic acid",392292,41.715,0.00
"Pentacosanoic acid",112447,43.116,0.00
"Hexacosanoic acid",141609,44.449,0.00
"Heptacosanoic acid",52963,45.764,0.00
"Octacosanoic acid",107563,47.029,0.00
"Nonacosanoic acid",31281,48.379,0.00
"Triacontanoic acid",99010,49.968,0.00
"Henriacontanoic acid",6537,51.967,0.00
"Dotriacontanoic acid",36453,54.098,0.00
"9-Hexadecenoic acid",5469641,28.367,0.00
"trans-9-Octadecenoic acid",1414136,31.654,0.00
"cis-9-Octadecenoic acid",379647,31.754,0.00
"9,12-Octadecanedienoic acid",891689,31.654,0.00
"Hexadecanamide",353008,33.107,0.00
"9-Octdecenamide",257452,36.185,0.00
"Octadecanamide",206380,36.587,0.00
"Butanedioic Acid",266027,6.947,0.00
"Pentanedioic Acid",22216,9.850,0.00
"Hexanedioic Acid",290831,12.736,0.00
"Heptanedioic Acid",47208,15.315,0.00
"Octanedioic Acid",4606,17.909,0.00
"Nonanedioic Acid",53009,20.358,0.00
"Decanedioic acid",19804,22.717,0.00
"Benzoic acid",11169992,8.617,0.00
"m-Toluic acid",1794018,11.617,0.00
"p-Toluic acid",1298254,11.861,0.00
"1,2-Phthalic acid",6520250,18.104,0.00
"1,4-Phthalic acid",148000,19.288,0.00
"1,3-Phthalic acid",94934,19.499,0.00
"4-Methoxybenzoic acid",64908,16.028,0.00
"3,4-Dimethoxy benzoic acid",68702,21.268,0.00
"4-methyl-1,2-phthalic acid",1254410,20.918,0.00
"1,2,4-Benzenetricarboxylic ",60261,26.807,0.00
"1,3,5-Benzenetricarboxylic",2587,28.144,0.00
"1,2,4,5-Benzenetetracarboxy",5876,32.618,0.00
"7-Oxodehydroabietic acid",40444,39.581,0.00
"Benz(de)anthracen-7-one",19250,38.223,0.00
